item_id,proposed_project_family_id,proposal_status,proposed_cluster_size,dependence_cluster_id,dependence_linkage_evidence,verified_source_names,creator_address,evidence_reference_candidates,auditor_instruction
ethereum:0x0e156ecdcab59fe16963a0de55137f4e3067759a,PF_CANDIDATE_05C8D20CBDC5,STRONG_ONCHAIN_CLUSTER_PROPOSAL,2,D0013,SHARED_AUTHORITY_EOA;SHARED_DEPLOYER_EOA,MetaMaskSwapRouter,0x810b0cfd3efc3006e8819a2f96225be6a228b752,"https://eth.blockscout.com/api/v2/addresses/0x0e156ecdcab59fe16963a0de55137f4e3067759a;https://eth.blockscout.com/api/v2/smart-contracts/0x0e156ecdcab59fe16963a0de55137f4e3067759a;https://sourcify.dev/server/v2/contract/1/0x0e156ecdcab59fe16963a0de55137f4e3067759a?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x0e980bc81314178679618c97f982a29999999999,PF_CANDIDATE_5E93A30B4D90,ANONYMOUS_SINGLETON_REQUIRES_RESEARCH,1,D0014,SINGLETON_NO_MUST_LINK,,0x4e59b44847b379578588920ca78fbf26c0b4956c,"https://eth.blockscout.com/api/v2/addresses/0x0e980bc81314178679618c97f982a29999999999;https://eth.blockscout.com/api/v2/smart-contracts/0x0e980bc81314178679618c97f982a29999999999;https://sourcify.dev/server/v2/contract/1/0x0e980bc81314178679618c97f982a29999999999?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x1000000000a6e3b8367e006089243cb67f08523f,PF_CANDIDATE_67DA2E2CF37D,ANONYMOUS_SINGLETON_REQUIRES_RESEARCH,1,D0015,SINGLETON_NO_MUST_LINK,,0x0000000000ffe8b47b3e2130213b802212439497,"https://eth.blockscout.com/api/v2/addresses/0x1000000000a6e3b8367e006089243cb67f08523f;https://eth.blockscout.com/api/v2/smart-contracts/0x1000000000a6e3b8367e006089243cb67f08523f;https://sourcify.dev/server/v2/contract/1/0x1000000000a6e3b8367e006089243cb67f08523f?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x145422173bdcdad12c2ee7b202cbc0655bb9f3ab,PF_CANDIDATE_0A0FEDE09BDF,ANONYMOUS_SINGLETON_REQUIRES_RESEARCH,1,D0016,SINGLETON_NO_MUST_LINK,,0xa002e30c05cf837000a4881e2130a4989599b0c4,"https://eth.blockscout.com/api/v2/addresses/0x145422173bdcdad12c2ee7b202cbc0655bb9f3ab;https://eth.blockscout.com/api/v2/smart-contracts/0x145422173bdcdad12c2ee7b202cbc0655bb9f3ab;https://sourcify.dev/server/v2/contract/1/0x145422173bdcdad12c2ee7b202cbc0655bb9f3ab?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x1768774c969070f8f6f7ad198c7919cdfcb0c282,PF_CANDIDATE_C1B9755A3A4E,ANONYMOUS_SINGLETON_REQUIRES_RESEARCH,1,D0017,SINGLETON_NO_MUST_LINK,,0x782c4a946c94137237c3dd19e7d390c50ef7afef,"https://eth.blockscout.com/api/v2/addresses/0x1768774c969070f8f6f7ad198c7919cdfcb0c282;https://eth.blockscout.com/api/v2/smart-contracts/0x1768774c969070f8f6f7ad198c7919cdfcb0c282;https://sourcify.dev/server/v2/contract/1/0x1768774c969070f8f6f7ad198c7919cdfcb0c282?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x1ae5084bc47dc47d5aaee5d449436f13dbf74cfc,PF_CANDIDATE_837CEE38CADE,ANONYMOUS_SINGLETON_REQUIRES_RESEARCH,1,D0018,SINGLETON_NO_MUST_LINK,,0xce7b958e1259003d6657de01a7ef2f0d6171351c,"https://eth.blockscout.com/api/v2/addresses/0x1ae5084bc47dc47d5aaee5d449436f13dbf74cfc;https://eth.blockscout.com/api/v2/smart-contracts/0x1ae5084bc47dc47d5aaee5d449436f13dbf74cfc;https://sourcify.dev/server/v2/contract/1/0x1ae5084bc47dc47d5aaee5d449436f13dbf74cfc?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x1fefc17c59d15d03bcc421c517e4f7bd97d4af3e,PF_CANDIDATE_00AB70962582,STRONG_ONCHAIN_CLUSTER_PROPOSAL,4,D0019,SHARED_DEPLOYER_EOA,,0x34f41c98898ed0c2f7d004538a7cbde33b35404f,"https://eth.blockscout.com/api/v2/addresses/0x1fefc17c59d15d03bcc421c517e4f7bd97d4af3e;https://eth.blockscout.com/api/v2/smart-contracts/0x1fefc17c59d15d03bcc421c517e4f7bd97d4af3e;https://sourcify.dev/server/v2/contract/1/0x1fefc17c59d15d03bcc421c517e4f7bd97d4af3e?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x21fa706a418864eadce19afd2791a178f4b3485e,PF_CANDIDATE_EB2ADDE5568B,ANONYMOUS_SINGLETON_REQUIRES_RESEARCH,1,D0020,SINGLETON_NO_MUST_LINK,,0x4659362bb53d0d7c97c136753ba512dadfe2467b,"https://eth.blockscout.com/api/v2/addresses/0x21fa706a418864eadce19afd2791a178f4b3485e;https://eth.blockscout.com/api/v2/smart-contracts/0x21fa706a418864eadce19afd2791a178f4b3485e;https://sourcify.dev/server/v2/contract/1/0x21fa706a418864eadce19afd2791a178f4b3485e?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x2370e974410a31a453187a019e3ea8b65c959d32,PF_CANDIDATE_4D7A9E8F84A3,ANONYMOUS_SINGLETON_REQUIRES_RESEARCH,1,D0021,SINGLETON_NO_MUST_LINK,,0xf1e7a08e7641ad5aac9cbff91f0f803e243d101d,"https://eth.blockscout.com/api/v2/addresses/0x2370e974410a31a453187a019e3ea8b65c959d32;https://eth.blockscout.com/api/v2/smart-contracts/0x2370e974410a31a453187a019e3ea8b65c959d32;https://sourcify.dev/server/v2/contract/1/0x2370e974410a31a453187a019e3ea8b65c959d32?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x23a712d44df46bc48ce3481edd843730c8bb32c4,PF_CANDIDATE_EABE3763B27D,STRONG_ONCHAIN_CLUSTER_PROPOSAL,3,D0006,SHARED_AUTHORITY_EOA,,0xbbafac01b4c0194c9a4d49bd389420b2b30a97e7,"https://eth.blockscout.com/api/v2/addresses/0x23a712d44df46bc48ce3481edd843730c8bb32c4;https://eth.blockscout.com/api/v2/smart-contracts/0x23a712d44df46bc48ce3481edd843730c8bb32c4;https://sourcify.dev/server/v2/contract/1/0x23a712d44df46bc48ce3481edd843730c8bb32c4?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x25054a2b9d4544ed292dc1a74e8bf1f6f449d988,PF_CANDIDATE_62ED71EC4541,VERIFIED_SOURCE_SINGLETON_PROPOSAL,1,D0022,SINGLETON_NO_MUST_LINK,ProviderBatchCallAndSponsor,0xeaaebeb57dc88fd25adee72711538af0c6a9ac6e,"https://eth.blockscout.com/api/v2/addresses/0x25054a2b9d4544ed292dc1a74e8bf1f6f449d988;https://eth.blockscout.com/api/v2/smart-contracts/0x25054a2b9d4544ed292dc1a74e8bf1f6f449d988;https://sourcify.dev/server/v2/contract/1/0x25054a2b9d4544ed292dc1a74e8bf1f6f449d988?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x26c2c4787804bb155a6be1363ab2e6cab59064da,PF_CANDIDATE_C3651B082BB7,STRONG_ONCHAIN_CLUSTER_PROPOSAL,2,D0023,SHARED_DEPLOYER_EOA,,0x5aba7101e1ebc788394e907eae3f17930b03c97d,"https://eth.blockscout.com/api/v2/addresses/0x26c2c4787804bb155a6be1363ab2e6cab59064da;https://eth.blockscout.com/api/v2/smart-contracts/0x26c2c4787804bb155a6be1363ab2e6cab59064da;https://sourcify.dev/server/v2/contract/1/0x26c2c4787804bb155a6be1363ab2e6cab59064da?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x27d860cfe4d39d2dafe1e5e7a218e0fff67ef776,PF_CANDIDATE_5EF27E48FC13,ANONYMOUS_SINGLETON_REQUIRES_RESEARCH,1,D0024,SINGLETON_NO_MUST_LINK,,0x80f8834e8a5512cd3099ea2b29e0c804755fd693,"https://eth.blockscout.com/api/v2/addresses/0x27d860cfe4d39d2dafe1e5e7a218e0fff67ef776;https://eth.blockscout.com/api/v2/smart-contracts/0x27d860cfe4d39d2dafe1e5e7a218e0fff67ef776;https://sourcify.dev/server/v2/contract/1/0x27d860cfe4d39d2dafe1e5e7a218e0fff67ef776?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x286b6a9ae16c50358ce6964b06f6c24ad65e60a7,PF_CANDIDATE_850613719C55,ANONYMOUS_SINGLETON_REQUIRES_RESEARCH,1,D0025,SINGLETON_NO_MUST_LINK,,0xe342b094d684e6d17ba127ae6eadf613de736554,"https://eth.blockscout.com/api/v2/addresses/0x286b6a9ae16c50358ce6964b06f6c24ad65e60a7;https://eth.blockscout.com/api/v2/smart-contracts/0x286b6a9ae16c50358ce6964b06f6c24ad65e60a7;https://sourcify.dev/server/v2/contract/1/0x286b6a9ae16c50358ce6964b06f6c24ad65e60a7?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x2a088149132c101f8120d157e9f34a172efab61f,PF_CANDIDATE_E03AEB915312,ANONYMOUS_SINGLETON_REQUIRES_RESEARCH,1,D0026,SINGLETON_NO_MUST_LINK,,0x88027bccadc2fa4dee4743e91516248d414f8a68,"https://eth.blockscout.com/api/v2/addresses/0x2a088149132c101f8120d157e9f34a172efab61f;https://eth.blockscout.com/api/v2/smart-contracts/0x2a088149132c101f8120d157e9f34a172efab61f;https://sourcify.dev/server/v2/contract/1/0x2a088149132c101f8120d157e9f34a172efab61f?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x30449798e61510b197b54238fa19470a72be46f5,PF_CANDIDATE_C3651B082BB7,STRONG_ONCHAIN_CLUSTER_PROPOSAL,2,D0023,SHARED_DEPLOYER_EOA,,0x5aba7101e1ebc788394e907eae3f17930b03c97d,"https://eth.blockscout.com/api/v2/addresses/0x30449798e61510b197b54238fa19470a72be46f5;https://eth.blockscout.com/api/v2/smart-contracts/0x30449798e61510b197b54238fa19470a72be46f5;https://sourcify.dev/server/v2/contract/1/0x30449798e61510b197b54238fa19470a72be46f5?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x329088afe1d91132e2a51d1d46e9b24574577126,PF_CANDIDATE_AEE7A01528EE,ANONYMOUS_SINGLETON_REQUIRES_RESEARCH,1,D0027,SINGLETON_NO_MUST_LINK,,0xa94bc3f832474380541f73d1fe117abf8325048e,"https://eth.blockscout.com/api/v2/addresses/0x329088afe1d91132e2a51d1d46e9b24574577126;https://eth.blockscout.com/api/v2/smart-contracts/0x329088afe1d91132e2a51d1d46e9b24574577126;https://sourcify.dev/server/v2/contract/1/0x329088afe1d91132e2a51d1d46e9b24574577126?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x3358e64ecf49e91f123e84423c0d6895d424e6a7,PF_CANDIDATE_C50E7D436A89,ANONYMOUS_SINGLETON_REQUIRES_RESEARCH,1,D0028,SINGLETON_NO_MUST_LINK,,0x83c54206ff0bf5a45fe91fb695fcf498b15bde2d,"https://eth.blockscout.com/api/v2/addresses/0x3358e64ecf49e91f123e84423c0d6895d424e6a7;https://eth.blockscout.com/api/v2/smart-contracts/0x3358e64ecf49e91f123e84423c0d6895d424e6a7;https://sourcify.dev/server/v2/contract/1/0x3358e64ecf49e91f123e84423c0d6895d424e6a7?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x34002caafaebd7ce17a2c424b014ff60f844c0fc,PF_CANDIDATE_00AB70962582,STRONG_ONCHAIN_CLUSTER_PROPOSAL,4,D0019,SHARED_AUTHORITY_EOA,,0x17f79e70ae89c6e32a9244d3d57b7aa648246468,"https://eth.blockscout.com/api/v2/addresses/0x34002caafaebd7ce17a2c424b014ff60f844c0fc;https://eth.blockscout.com/api/v2/smart-contracts/0x34002caafaebd7ce17a2c424b014ff60f844c0fc;https://sourcify.dev/server/v2/contract/1/0x34002caafaebd7ce17a2c424b014ff60f844c0fc?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x36280ec8753946132af9928da91bc1f204431eb5,PF_CANDIDATE_42AB8A5A849D,VERIFIED_SOURCE_SINGLETON_PROPOSAL,1,D0029,SINGLETON_NO_MUST_LINK,RescueDelegatorV2,0xa2356989751a2580f41f944a4f6e26581a8ad68f,"https://eth.blockscout.com/api/v2/addresses/0x36280ec8753946132af9928da91bc1f204431eb5;https://eth.blockscout.com/api/v2/smart-contracts/0x36280ec8753946132af9928da91bc1f204431eb5;https://sourcify.dev/server/v2/contract/1/0x36280ec8753946132af9928da91bc1f204431eb5?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x37e406f223c79715fb76402b742c55d7fdb73479,PF_CANDIDATE_A9FA7CF14F48,ANONYMOUS_SINGLETON_REQUIRES_RESEARCH,1,D0030,SINGLETON_NO_MUST_LINK,,0xcc399f359f02938f21ed8d5778cd72388adbfc2d,"https://eth.blockscout.com/api/v2/addresses/0x37e406f223c79715fb76402b742c55d7fdb73479;https://eth.blockscout.com/api/v2/smart-contracts/0x37e406f223c79715fb76402b742c55d7fdb73479;https://sourcify.dev/server/v2/contract/1/0x37e406f223c79715fb76402b742c55d7fdb73479?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x3ac5f265b93c63014534893c0b6300ddfc5d2ebe,PF_CANDIDATE_03D7D2C94D8A,STRONG_ONCHAIN_CLUSTER_PROPOSAL,2,D0031,SHARED_AUTHORITY_EOA,,0x9450c13261fd10aa070adb92d1a91c7080d944ef,"https://eth.blockscout.com/api/v2/addresses/0x3ac5f265b93c63014534893c0b6300ddfc5d2ebe;https://eth.blockscout.com/api/v2/smart-contracts/0x3ac5f265b93c63014534893c0b6300ddfc5d2ebe;https://sourcify.dev/server/v2/contract/1/0x3ac5f265b93c63014534893c0b6300ddfc5d2ebe?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x3baf168a54b4b166a92e973f39a6a9315552322d,PF_CANDIDATE_5C174ED3114D,STRONG_ONCHAIN_CLUSTER_PROPOSAL,2,D0032,SHARED_AUTHORITY_EOA,RescueExecutor,0x8888880009de796bb0ff1183da697b5ec859659d,"https://eth.blockscout.com/api/v2/addresses/0x3baf168a54b4b166a92e973f39a6a9315552322d;https://eth.blockscout.com/api/v2/smart-contracts/0x3baf168a54b4b166a92e973f39a6a9315552322d;https://sourcify.dev/server/v2/contract/1/0x3baf168a54b4b166a92e973f39a6a9315552322d?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x3da1dd1b73ebe40141ad1b51a1ce810d2fba1405,PF_CANDIDATE_4160B94DEE7F,ANONYMOUS_SINGLETON_REQUIRES_RESEARCH,1,D0033,SINGLETON_NO_MUST_LINK,,0x4e59b44847b379578588920ca78fbf26c0b4956c,"https://eth.blockscout.com/api/v2/addresses/0x3da1dd1b73ebe40141ad1b51a1ce810d2fba1405;https://eth.blockscout.com/api/v2/smart-contracts/0x3da1dd1b73ebe40141ad1b51a1ce810d2fba1405;https://sourcify.dev/server/v2/contract/1/0x3da1dd1b73ebe40141ad1b51a1ce810d2fba1405?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x3e840c7ed28cee640a6c604d0b8ac9d3b8017245,PF_CANDIDATE_E383C872901D,ANONYMOUS_SINGLETON_REQUIRES_RESEARCH,1,D0034,SINGLETON_NO_MUST_LINK,,0xeba54d59cbc6a7b54a5875769e9c343342099c88,"https://eth.blockscout.com/api/v2/addresses/0x3e840c7ed28cee640a6c604d0b8ac9d3b8017245;https://eth.blockscout.com/api/v2/smart-contracts/0x3e840c7ed28cee640a6c604d0b8ac9d3b8017245;https://sourcify.dev/server/v2/contract/1/0x3e840c7ed28cee640a6c604d0b8ac9d3b8017245?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
