review_id,contract_address,exact_bytecode_hash,bytecode_family_id,represented_contract_count,verified_project_name,coverage_status,llm_label,llm_confidence,llm_explanation,evidence_summary,decision,final_label,final_confidence,comment,llm_risk_categories,llm_uncertainties,represented_addresses,bytecode_length,first_observed_block,authorization_frequency,evidence_path,explorer_link,diagnostic_reasons
V2-0152,0x02102444bd6065f32485abae024ebb93ee907e0c,3673260f195242c8cc0fe07e1641dc7d6e091839e4e4f08b7db0905e8d5caaf6,FAM00015,1,,COMPLETE,R1,medium,"0x02102444bd6065f32485abae024ebb93ee907e0c: unguarded_call_to_calldata_supplied_target reachable from entry on a path passing no recognized caller or signature guard, under complete control-flow coverage.",exec=1282B meta=53B; reachable={'CALL': 3}; unguarded={'CALL': 3}; guards=0; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,unguarded_call_to_calldata_supplied_target,,0x02102444bd6065f32485abae024ebb93ee907e0c,1335,25603554,45,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x02102444bd6065f32485abae024ebb93ee907e0c.json,https://etherscan.io/address/0x02102444bd6065f32485abae024ebb93ee907e0c,r1_case
V2-0208,0x490aac77c960b0569c8e446ac7e12490bd44ca1d,4ad11d6a434f311ef4e2a21f13e377622d786711fcbb1f67613ce1ec357e677c,FAM00166,1,,COMPLETE,R1,medium,"0x490aac77c960b0569c8e446ac7e12490bd44ca1d: unguarded_call_to_calldata_supplied_target reachable from entry on a path passing no recognized caller or signature guard, under complete control-flow coverage.",exec=2672B meta=53B; reachable={'CALL': 3}; unguarded={'CALL': 2}; guards=4; ecrecover=True; unresolved_jumps=0; coverage=COMPLETE,,,,,unguarded_call_to_calldata_supplied_target,"The contract reaches ecrecover somewhere; if authorization is enforced by a signature check that this traversal did not tie to these sites, the capability may be protected in a way this analysis did not model.",0x490aac77c960b0569c8e446ac7e12490bd44ca1d,2725,25595144,8342,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x490aac77c960b0569c8e446ac7e12490bd44ca1d.json,https://etherscan.io/address/0x490aac77c960b0569c8e446ac7e12490bd44ca1d,r1_case; label_changed_v1_B_to_v2_R1
V2-0227,0x60f1e45497ea06fce6770be67396acfca9bd8512,52993b59ff6d8243156b75780dc96a6609f4a84a6427e5f0922b98334c695294,FAM00207,1,,COMPLETE,R1,medium,"0x60f1e45497ea06fce6770be67396acfca9bd8512: unguarded_call_to_calldata_supplied_target reachable from entry on a path passing no recognized caller or signature guard, under complete control-flow coverage.",exec=986B meta=53B; reachable={'CALL': 3}; unguarded={'CALL': 3}; guards=0; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,unguarded_call_to_calldata_supplied_target,,0x60f1e45497ea06fce6770be67396acfca9bd8512,1039,25691434,15,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x60f1e45497ea06fce6770be67396acfca9bd8512.json,https://etherscan.io/address/0x60f1e45497ea06fce6770be67396acfca9bd8512,r1_case; label_changed_v1_B_to_v2_R1
V2-0243,0x9676d9f94ece8d97cb4aec6ea3cf3a6e3ebb0b09,582e4ed318fcbd703e3dff9022146758b666bda687a9b51b82cfcc0d7946a75b,FAM00295,1,,COMPLETE,R1,medium,"0x9676d9f94ece8d97cb4aec6ea3cf3a6e3ebb0b09: unguarded_call_to_calldata_supplied_target reachable from entry on a path passing no recognized caller or signature guard, under complete control-flow coverage.",exec=5806B meta=53B; reachable={'CALL': 2}; unguarded={'CALL': 2}; guards=1; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,unguarded_call_to_calldata_supplied_target,,0x9676d9f94ece8d97cb4aec6ea3cf3a6e3ebb0b09,5859,25595143,1418,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x9676d9f94ece8d97cb4aec6ea3cf3a6e3ebb0b09.json,https://etherscan.io/address/0x9676d9f94ece8d97cb4aec6ea3cf3a6e3ebb0b09,r1_case
V2-0344,0xe3849584b2859a23bf1fbe881ea76c4a39045477,7f99d37f3e590224f10a9920f039192dfaa915e79164afb5dbde65b801ad919d,FAM00404,1,,COMPLETE,R1,medium,"0xe3849584b2859a23bf1fbe881ea76c4a39045477: unguarded_call_to_calldata_supplied_target reachable from entry on a path passing no recognized caller or signature guard, under complete control-flow coverage.",exec=9480B meta=53B; reachable={'CALL': 13}; unguarded={'CALL': 1}; guards=14; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,unguarded_call_to_calldata_supplied_target,,0xe3849584b2859a23bf1fbe881ea76c4a39045477,9533,25615663,254,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0xe3849584b2859a23bf1fbe881ea76c4a39045477.json,https://etherscan.io/address/0xe3849584b2859a23bf1fbe881ea76c4a39045477,r1_case; label_changed_v1_R2_to_v2_R1
V2-0355,0x704abfe3429c888bcb8c9a5256f3a8a61331acfa,83ad57c3ad31633defce139f76ad2b41c3193fce1224c77102b5568dfbf87efa,FAM00234,1,,COMPLETE,R1,medium,"0x704abfe3429c888bcb8c9a5256f3a8a61331acfa: unguarded_call_to_calldata_supplied_target reachable from entry on a path passing no recognized caller or signature guard, under complete control-flow coverage.","exec=5478B meta=53B; reachable={'SSTORE': 1, 'CALL': 2}; unguarded={'SSTORE': 1, 'CALL': 2}; guards=2; ecrecover=True; unresolved_jumps=0; coverage=COMPLETE",,,,,unguarded_call_to_calldata_supplied_target,"The contract reaches ecrecover somewhere; if authorization is enforced by a signature check that this traversal did not tie to these sites, the capability may be protected in a way this analysis did not model.",0x704abfe3429c888bcb8c9a5256f3a8a61331acfa,5531,25623135,1,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x704abfe3429c888bcb8c9a5256f3a8a61331acfa.json,https://etherscan.io/address/0x704abfe3429c888bcb8c9a5256f3a8a61331acfa,r1_case; label_changed_v1_R2_to_v2_R1
V2-0378,0x6d94554900937c5b3efb52ed21c09a4953b7c451,8dfa1d3f007eff56ed414952b3d50664a972709883bba64fbffe4c424a0df596,FAM00227,1,,COMPLETE,R1,medium,"0x6d94554900937c5b3efb52ed21c09a4953b7c451: unguarded_call_to_calldata_supplied_target reachable from entry on a path passing no recognized caller or signature guard, under complete control-flow coverage.","exec=11234B meta=53B; reachable={'CALL': 5, 'SSTORE': 7}; unguarded={'SSTORE': 1, 'CALL': 1}; guards=22; ecrecover=True; unresolved_jumps=0; coverage=COMPLETE",,,,,unguarded_call_to_calldata_supplied_target,"The contract reaches ecrecover somewhere; if authorization is enforced by a signature check that this traversal did not tie to these sites, the capability may be protected in a way this analysis did not model.",0x6d94554900937c5b3efb52ed21c09a4953b7c451,11287,25613139,8,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x6d94554900937c5b3efb52ed21c09a4953b7c451.json,https://etherscan.io/address/0x6d94554900937c5b3efb52ed21c09a4953b7c451,r1_case; label_changed_v1_R2_to_v2_R1
V2-0416,0x5752c77b08de5955a7144d31d482bb21fa372192,9cfb9828d0d6f6f810f9bcc4f413f0a34e3735c011339df587093af25dcd2450,FAM00195,1,,COMPLETE,R1,medium,"0x5752c77b08de5955a7144d31d482bb21fa372192: unguarded_call_to_calldata_supplied_target reachable from entry on a path passing no recognized caller or signature guard, under complete control-flow coverage.","exec=10183B meta=53B; reachable={'CREATE2': 1, 'CALL': 3, 'SSTORE': 3}; unguarded={'CALL': 2}; guards=9; ecrecover=True; unresolved_jumps=0; coverage=COMPLETE",,,,,unguarded_call_to_calldata_supplied_target,"The contract reaches ecrecover somewhere; if authorization is enforced by a signature check that this traversal did not tie to these sites, the capability may be protected in a way this analysis did not model.",0x5752c77b08de5955a7144d31d482bb21fa372192,10236,25659237,2,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x5752c77b08de5955a7144d31d482bb21fa372192.json,https://etherscan.io/address/0x5752c77b08de5955a7144d31d482bb21fa372192,r1_case; label_changed_v1_R2_to_v2_R1
V2-0432,0xd2b71fcf23e5e99e0a7a4f52f276ef9b9adadc28,a5574c8658f334a7b3af70a6f131ac138b0710198e8c08624679a7d1011f335f,FAM00166,1,,COMPLETE,R1,medium,"0xd2b71fcf23e5e99e0a7a4f52f276ef9b9adadc28: unguarded_call_to_calldata_supplied_target reachable from entry on a path passing no recognized caller or signature guard, under complete control-flow coverage.",exec=2672B meta=53B; reachable={'CALL': 3}; unguarded={'CALL': 2}; guards=4; ecrecover=True; unresolved_jumps=0; coverage=COMPLETE,,,,,unguarded_call_to_calldata_supplied_target,"The contract reaches ecrecover somewhere; if authorization is enforced by a signature check that this traversal did not tie to these sites, the capability may be protected in a way this analysis did not model.",0xd2b71fcf23e5e99e0a7a4f52f276ef9b9adadc28,2725,25599715,3,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0xd2b71fcf23e5e99e0a7a4f52f276ef9b9adadc28.json,https://etherscan.io/address/0xd2b71fcf23e5e99e0a7a4f52f276ef9b9adadc28,r1_case; label_changed_v1_B_to_v2_R1
V2-0440,0x8cb7a3527e721e559a743737b536547fad469de8,a7fe2244b945362343525dba703063dcb21beaff5cfa1ece623df48009bbdd0e,FAM00280,1,,COMPLETE,R1,medium,"0x8cb7a3527e721e559a743737b536547fad469de8: unguarded_call_to_calldata_supplied_target reachable from entry on a path passing no recognized caller or signature guard, under complete control-flow coverage.",exec=2124B meta=53B; reachable={'CALL': 1}; unguarded={'CALL': 1}; guards=0; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,unguarded_call_to_calldata_supplied_target,,0x8cb7a3527e721e559a743737b536547fad469de8,2177,25607502,367,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x8cb7a3527e721e559a743737b536547fad469de8.json,https://etherscan.io/address/0x8cb7a3527e721e559a743737b536547fad469de8,r1_case; label_changed_v1_R2_to_v2_R1
V2-0447,0xc56882c2fd9b15510a92331e74d6e53b083988b5,ab9b09ee56ad123f3e58c660ee6f0e4c97277b70cf468dbe4d21653bb6fc917f,FAM00356,1,,COMPLETE,R1,medium,"0xc56882c2fd9b15510a92331e74d6e53b083988b5: unguarded_call_to_calldata_supplied_target reachable from entry on a path passing no recognized caller or signature guard, under complete control-flow coverage.","exec=3885B meta=53B; reachable={'CALL': 2, 'SELFDESTRUCT': 1}; unguarded={'CALL': 2}; guards=1; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE",,,,,unguarded_call_to_calldata_supplied_target,,0xc56882c2fd9b15510a92331e74d6e53b083988b5,3938,25641606,7,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0xc56882c2fd9b15510a92331e74d6e53b083988b5.json,https://etherscan.io/address/0xc56882c2fd9b15510a92331e74d6e53b083988b5,r1_case
V2-0456,0x00bc0518486fda00d64ced8dad163e736939f3d6,adf29e69a0d15fff836a20ba5b0cb9f0f68d9ebcb85001ada272ef7575876a28,FAM00014,1,,COMPLETE,R1,medium,"0x00bc0518486fda00d64ced8dad163e736939f3d6: unguarded_call_to_calldata_supplied_target reachable from entry on a path passing no recognized caller or signature guard, under complete control-flow coverage.",exec=2640B meta=53B; reachable={'CALL': 3}; unguarded={'CALL': 2}; guards=2; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,unguarded_call_to_calldata_supplied_target,,0x00bc0518486fda00d64ced8dad163e736939f3d6,2693,25683149,11,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x00bc0518486fda00d64ced8dad163e736939f3d6.json,https://etherscan.io/address/0x00bc0518486fda00d64ced8dad163e736939f3d6,r1_case; label_changed_v1_B_to_v2_R1
V2-0469,0xd133878286c6aacd14be8c8b22ba4b2cddced698,b2cf868774cf02d8365e4bd2945b2840e30fc9c50ff50a75fe59f1b63da13bf4,FAM00227,1,,COMPLETE,R1,medium,"0xd133878286c6aacd14be8c8b22ba4b2cddced698: unguarded_call_to_calldata_supplied_target reachable from entry on a path passing no recognized caller or signature guard, under complete control-flow coverage.","exec=11234B meta=53B; reachable={'CALL': 5, 'SSTORE': 7}; unguarded={'SSTORE': 1, 'CALL': 1}; guards=22; ecrecover=True; unresolved_jumps=0; coverage=COMPLETE",,,,,unguarded_call_to_calldata_supplied_target,"The contract reaches ecrecover somewhere; if authorization is enforced by a signature check that this traversal did not tie to these sites, the capability may be protected in a way this analysis did not model.",0xd133878286c6aacd14be8c8b22ba4b2cddced698,11287,25600779,11,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0xd133878286c6aacd14be8c8b22ba4b2cddced698.json,https://etherscan.io/address/0xd133878286c6aacd14be8c8b22ba4b2cddced698,r1_case; label_changed_v1_R2_to_v2_R1
V2-0491,0xc703b7116caf748cb44b8766acdb604aaac62a14,bea55f5f0528f22e2dc866070769a42acc8859e125bfd06243e087a093533a22,FAM00357,1,,COMPLETE,R1,medium,"0xc703b7116caf748cb44b8766acdb604aaac62a14: unguarded_call_to_calldata_supplied_target reachable from entry on a path passing no recognized caller or signature guard, under complete control-flow coverage.",exec=6399B meta=53B; reachable={'CALL': 2}; unguarded={'CALL': 2}; guards=1; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,unguarded_call_to_calldata_supplied_target,,0xc703b7116caf748cb44b8766acdb604aaac62a14,6452,25624905,5,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0xc703b7116caf748cb44b8766acdb604aaac62a14.json,https://etherscan.io/address/0xc703b7116caf748cb44b8766acdb604aaac62a14,r1_case; label_changed_v1_R2_to_v2_R1
V2-0547,0xbd13a1209377cd332dd53a1f141b1d157e1b4f78,d075ae22e453770e417f555cffdfcf6d564e220bce498db7524877f5fe42cfa0,FAM00347,1,SOURCIFY_VERIFIED_UNNAMED,COMPLETE,R1,medium,"0xbd13a1209377cd332dd53a1f141b1d157e1b4f78: unguarded_call_to_calldata_supplied_target reachable from entry on a path passing no recognized caller or signature guard, under complete control-flow coverage.",exec=1344B meta=53B; reachable={'CALL': 1}; unguarded={'CALL': 1}; guards=0; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,unguarded_call_to_calldata_supplied_target,,0xbd13a1209377cd332dd53a1f141b1d157e1b4f78,1397,25653146,6,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0xbd13a1209377cd332dd53a1f141b1d157e1b4f78.json,https://etherscan.io/address/0xbd13a1209377cd332dd53a1f141b1d157e1b4f78,r1_case; verified_source; label_changed_v1_B_to_v2_R1
V2-0578,0x3ac5f265b93c63014534893c0b6300ddfc5d2ebe,dd50662a604cbe40b945ee6ed2a2089e5e09c763337578e5acc3d444c2845898,FAM00132,1,,COMPLETE,R1,medium,"0x3ac5f265b93c63014534893c0b6300ddfc5d2ebe: unguarded_call_to_calldata_supplied_target reachable from entry on a path passing no recognized caller or signature guard, under complete control-flow coverage.",exec=1860B meta=53B; reachable={'CALL': 2}; unguarded={'CALL': 2}; guards=0; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,unguarded_call_to_calldata_supplied_target,,0x3ac5f265b93c63014534893c0b6300ddfc5d2ebe,1913,25595314,206,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x3ac5f265b93c63014534893c0b6300ddfc5d2ebe.json,https://etherscan.io/address/0x3ac5f265b93c63014534893c0b6300ddfc5d2ebe,r1_case; label_changed_v1_R2_to_v2_R1
V2-0627,0xc9a899b2b62a15a2a0888f072b342f892cf303d4,eebc2328ea3cb987573e438f81a797bbbc3471b346db821ec6e3cc06cb9bfa4f,FAM00362,1,,COMPLETE,R1,medium,"0xc9a899b2b62a15a2a0888f072b342f892cf303d4: unguarded_call_to_calldata_supplied_target reachable from entry on a path passing no recognized caller or signature guard, under complete control-flow coverage.",exec=1262B meta=53B; reachable={'CALL': 3}; unguarded={'CALL': 3}; guards=0; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,unguarded_call_to_calldata_supplied_target,,0xc9a899b2b62a15a2a0888f072b342f892cf303d4,1315,25681330,1,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0xc9a899b2b62a15a2a0888f072b342f892cf303d4.json,https://etherscan.io/address/0xc9a899b2b62a15a2a0888f072b342f892cf303d4,r1_case; label_changed_v1_R2_to_v2_R1
V2-0647,0x3e2b1f7c601300bd2a3c9a70edb1bbbf245cace0,f4b116b325f419b14ce36fc669b3b10d9d71d5e89bde4ad9bd9e11464da59437,FAM00143,1,,COMPLETE,R1,medium,"0x3e2b1f7c601300bd2a3c9a70edb1bbbf245cace0: unguarded_call_to_calldata_supplied_target reachable from entry on a path passing no recognized caller or signature guard, under complete control-flow coverage.",exec=2115B meta=53B; reachable={'CALL': 2}; unguarded={'CALL': 2}; guards=0; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,unguarded_call_to_calldata_supplied_target,,0x3e2b1f7c601300bd2a3c9a70edb1bbbf245cace0,2168,25621409,10902,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x3e2b1f7c601300bd2a3c9a70edb1bbbf245cace0.json,https://etherscan.io/address/0x3e2b1f7c601300bd2a3c9a70edb1bbbf245cace0,r1_case; label_changed_v1_R2_to_v2_R1
V2-0649,0x37ee921732654b81b2c2be0d4544236bed121f2d,f4d894bbadb0a569b3f69c271703c6d5b4d62bc7bd1c2ca782d4fa1dc0243364,FAM00128,1,,COMPLETE,R1,medium,"0x37ee921732654b81b2c2be0d4544236bed121f2d: unguarded_call_to_calldata_supplied_target reachable from entry on a path passing no recognized caller or signature guard, under complete control-flow coverage.",exec=2508B meta=53B; reachable={'CALL': 2}; unguarded={'CALL': 2}; guards=0; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,unguarded_call_to_calldata_supplied_target,,0x37ee921732654b81b2c2be0d4544236bed121f2d,2561,25609550,29,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x37ee921732654b81b2c2be0d4544236bed121f2d.json,https://etherscan.io/address/0x37ee921732654b81b2c2be0d4544236bed121f2d,r1_case; label_changed_v1_R2_to_v2_R1; proxy_or_delegatecall
