anon_id,sid,chain,address,class,family_id,stratum,score,pred
C798e64dfd919,bnb:0x572065f25b2af0081bca42d1b173e507e8005e54,bnb,0x572065f25b2af0081bca42d1b173e507e8005e54,malicious,F00008,random_positive,0.8855946660041809,1.0
C15eecc5adfe1,optimism:0x128f99fc9bfda7c53a2707c16997fdb56b77cd89,optimism,0x128f99fc9bfda7c53a2707c16997fdb56b77cd89,malicious,F00002,random_positive,0.9209907054901124,1.0
C0b340c58f8b1,optimism:0x916a0b8fdc003c43213b7abc50fcb85a17ce6a6b,optimism,0x916a0b8fdc003c43213b7abc50fcb85a17ce6a6b,malicious,F00004,random_positive,0.0109902694821357,0.0
Cdcc5d24e734f,bnb:0x0000013e81b16d6f369a3376cb38381c06606ed8,bnb,0x0000013e81b16d6f369a3376cb38381c06606ed8,malicious,F00013,random_positive,0.779857873916626,1.0
C0cdf3e0b400b,optimism:0x23c3a46086bfaa35b4514edf65a04bb7f459228d,optimism,0x23c3a46086bfaa35b4514edf65a04bb7f459228d,malicious,F00004,random_positive,0.0109902694821357,0.0
C53a5109e5665,ethereum:0x8613f7e17d522e80a9410a4375032dff82f7e315,ethereum,0x8613f7e17d522e80a9410a4375032dff82f7e315,malicious,F00110,random_positive,0.9233675599098206,1.0
Cd775ad1dc557,bnb:0xb23422656eda1fd6655ddcbc15e7a1e2b5001129,bnb,0xb23422656eda1fd6655ddcbc15e7a1e2b5001129,benign_cleared,F01149,random_weak_negative,0.0001747859932947,0.0
C28d6abb7ac01,arbitrum:0x215f70b5f69f48e671536891cdfe32076d1e45d9,arbitrum,0x215f70b5f69f48e671536891cdfe32076d1e45d9,benign_cleared,F00040,random_weak_negative,0.0012833329383283,0.0
Cc05555f22c5a,bnb:0xa08908429ac1ec53c8dcca7bae58c7cea615846e,bnb,0xa08908429ac1ec53c8dcca7bae58c7cea615846e,benign_cleared,F01272,random_weak_negative,0.0001695680111879,0.0
C1a16c27151fd,bnb:0x2ca0eedf52be451e97d1b5dda009606b3ebfd4b8,bnb,0x2ca0eedf52be451e97d1b5dda009606b3ebfd4b8,benign_cleared,F00684,random_weak_negative,0.0002183284377679,0.0
Cd92efafcde13,bnb:0x943c965a22d1b9005c9ba347a74226c9e00e5154,bnb,0x943c965a22d1b9005c9ba347a74226c9e00e5154,benign_cleared,F01230,random_weak_negative,0.0016206307336688,0.0
Cd962e1df898e,bnb:0x9e997501e11d13f99605e5a6eded55009336b974,bnb,0x9e997501e11d13f99605e5a6eded55009336b974,benign_cleared,F01215,random_weak_negative,0.000436354544945,0.0
C84116de553f6,base:0x31f10ab0b2947f00e7e8e75a33775e3118055720,base,0x31f10ab0b2947f00e7e8e75a33775e3118055720,benign_cleared,F00777,random_weak_negative,0.0505762323737144,0.0
Ce6535dbde8bd,ethereum:0x63f3baab5bec371ba4c33c65a1c3002b503fe83c,ethereum,0x63f3baab5bec371ba4c33c65a1c3002b503fe83c,benign_cleared,F01079,random_weak_negative,4.186093065072782e-05,0.0
Cd22b5f67df4f,bnb:0x74b077bf27bfa83fa672d4012965a3111a985921,bnb,0x74b077bf27bfa83fa672d4012965a3111a985921,benign_cleared,F00889,random_weak_negative,0.0009144742507487,0.0
C2b5e724e7f94,optimism:0x29a58e0f47adeb1af7328a55c86f21714b3b61be,optimism,0x29a58e0f47adeb1af7328a55c86f21714b3b61be,benign_cleared,F00665,random_weak_negative,0.039727222174406,0.0
C1668c173d5a5,base:0xe86697313f359a4ad7fd988f3cde37cc04558479,base,0xe86697313f359a4ad7fd988f3cde37cc04558479,benign_cleared,F00843,random_weak_negative,0.9079959988594056,1.0
Cf151a63eb594,bnb:0x000000004f43c49e93c970e84001853a70923b03,bnb,0x000000004f43c49e93c970e84001853a70923b03,benign_cleared,F00722,random_weak_negative,0.0038875441532582,0.0
Cf3ab363e93ca,base:0xe773b9c5a533eb7c596ac012206ddcbfb069f190,base,0xe773b9c5a533eb7c596ac012206ddcbfb069f190,benign_cleared,F00675,random_weak_negative,0.0029586930759251,0.0
C24ae9d3ca534,polygon:0x815046536cbfb0f0aa5634fd665398c95eecbc0b,polygon,0x815046536cbfb0f0aa5634fd665398c95eecbc0b,benign_cleared,F00046,random_weak_negative,0.1184837520122528,0.0
Cc2c3328527e9,base:0x2d7e702d1efdaf47c8b23e323d4adf2c315db820,base,0x2d7e702d1efdaf47c8b23e323d4adf2c315db820,benign_cleared,F00811,random_weak_negative,0.0003803634317591,0.0
Ca066e195d137,base:0x4f91fdfa719270c057c0dced83afe388071fd25a,base,0x4f91fdfa719270c057c0dced83afe388071fd25a,benign_cleared,F00807,random_weak_negative,0.012117258273065,0.0
Cff694e7b9019,bnb:0x4d850c12e68594203c3d33aeb7bb67c0a2982834,bnb,0x4d850c12e68594203c3d33aeb7bb67c0a2982834,benign_cleared,F01128,random_weak_negative,0.002282808534801,0.0
Cd75f09b6b60c,base:0x6f1f0837d83d8f550f8f8f379151eb4c82c8e03d,base,0x6f1f0837d83d8f550f8f8f379151eb4c82c8e03d,benign_cleared,F00055,random_weak_negative,0.0010130231967195,0.0
C5b6d7429a56a,arbitrum:0xc74b71251ed38585d344e6ab8a3f5375d56b9ef5,arbitrum,0xc74b71251ed38585d344e6ab8a3f5375d56b9ef5,benign_cleared,F00743,random_weak_negative,0.0016272569773718,0.0
Cfcae6e01198c,bnb:0x575a8d950461fceafd601581371c06a0fa514e66,bnb,0x575a8d950461fceafd601581371c06a0fa514e66,benign_cleared,F01270,random_weak_negative,0.0014685161877423,0.0
Cb4dd21dece65,ethereum:0xcfa266ba068949897ff191ddebd997e0aa9b5f92,ethereum,0xcfa266ba068949897ff191ddebd997e0aa9b5f92,benign_cleared,F00978,random_weak_negative,0.0001002872450044,0.0
Cfb6ffbb24c66,optimism:0x4f75076caba0dec697ae025bc407313bc3316b43,optimism,0x4f75076caba0dec697ae025bc407313bc3316b43,benign_cleared,F00664,random_weak_negative,0.0008001057431101,0.0
C9d761a495985,bnb:0xa937bf715d310eaa81e769f3495129dc36ddf056,bnb,0xa937bf715d310eaa81e769f3495129dc36ddf056,benign_cleared,F00691,random_weak_negative,0.0044809295795857,0.0
C036eb15a2a36,ethereum:0x070deb3ac0061880bf69c7ec12b8815c0480de2b,ethereum,0x070deb3ac0061880bf69c7ec12b8815c0480de2b,benign_cleared,F00733,random_weak_negative,0.0009312011534348,0.0
C91b9e2f1739e,base:0xe9fefaded3a5a76e13bd8e7e256d7d685c69b01a,base,0xe9fefaded3a5a76e13bd8e7e256d7d685c69b01a,benign_cleared,F00862,random_weak_negative,0.2624448239803314,1.0
C18ed2a8515eb,gnosis:0x68e22002235022dfa77b8f9511a1b51799deb7a1,gnosis,0x68e22002235022dfa77b8f9511a1b51799deb7a1,benign_cleared,F00732,high_scoring_false_positive,0.9743831753730774,1.0
Cbbf51224836b,ethereum:0x74c5f0207a57fead7873666c12bbf05c9ccd57e6,ethereum,0x74c5f0207a57fead7873666c12bbf05c9ccd57e6,benign_cleared,F00850,high_scoring_false_positive,0.5087680816650391,1.0
Cfa3162c350e0,bnb:0x105f018b2acd8bfa6892af894412c76b309391f1,bnb,0x105f018b2acd8bfa6892af894412c76b309391f1,benign_cleared,F01147,high_scoring_false_positive,0.9572625160217284,1.0
C45cdfb3ca067,arbitrum:0x7369c010fa37faa73adb75dede2d36e9dd09cdbe,arbitrum,0x7369c010fa37faa73adb75dede2d36e9dd09cdbe,benign_cleared,F00768,high_scoring_false_positive,0.4611057341098785,1.0
Cb41a189adddb,bnb:0xc0830137345da34268fb8849e164e83bc082b48c,bnb,0xc0830137345da34268fb8849e164e83bc082b48c,benign_cleared,F01261,high_scoring_false_positive,0.9150742292404176,1.0
Ca96e28d774c7,base:0x82d67cb7a1e45331638d6d6ca14336d8fa88cd17,base,0x82d67cb7a1e45331638d6d6ca14336d8fa88cd17,benign_cleared,F00783,high_scoring_false_positive,0.7638059258460999,1.0
C0af18093e6a7,arbitrum:0x97f6c7f4110afe7dd51d987ee1fa03f01c933834,arbitrum,0x97f6c7f4110afe7dd51d987ee1fa03f01c933834,benign_cleared,F00053,high_scoring_false_positive,0.9690444469451904,1.0
C3c2ce80338c0,bnb:0x7c908d9586341952c33ca941f916b083e69ab334,bnb,0x7c908d9586341952c33ca941f916b083e69ab334,benign_cleared,F01133,high_scoring_false_positive,0.9847197532653807,1.0
Cbfdc595a0819,base:0xbd253ba998f49adcb4a63ceefd0c46f59e3f5b73,base,0xbd253ba998f49adcb4a63ceefd0c46f59e3f5b73,benign_cleared,F00783,high_scoring_false_positive,0.8387049436569214,1.0
C8519d81a4d94,ethereum:0x4a8be309322dc7e65a68fcb8fc54ad6bee8260b4,ethereum,0x4a8be309322dc7e65a68fcb8fc54ad6bee8260b4,benign_cleared,F00700,high_scoring_false_positive,0.4853513538837433,1.0
Cb6147957d2f2,base:0x5ab0764f4404db2c30a0d6b701fc2ed67cc98e77,base,0x5ab0764f4404db2c30a0d6b701fc2ed67cc98e77,benign_cleared,F00841,high_scoring_false_positive,0.4915100634098053,1.0
C5f8e73842dd8,polygon:0x7a98078508dcbdc1c4a518f4642e4f9d043a5927,polygon,0x7a98078508dcbdc1c4a518f4642e4f9d043a5927,benign_cleared,F00046,high_scoring_false_positive,0.934601366519928,1.0
Ce42f5438b0ac,arbitrum:0x265e82d66dcf04082f6196bb13b2d6ff071abfcd,arbitrum,0x265e82d66dcf04082f6196bb13b2d6ff071abfcd,benign_cleared,F00764,high_scoring_false_positive,0.4481622576713562,1.0
C70b4567785f5,bnb:0x85d68994d28cfc930d00fa4cfb8dd376b9f104e6,bnb,0x85d68994d28cfc930d00fa4cfb8dd376b9f104e6,benign_cleared,F01179,high_scoring_false_positive,0.8867201805114746,1.0
Cd48d284f9a29,bnb:0x6ed8562c2e83535dc34f20954d15c5b66f7fa4f0,bnb,0x6ed8562c2e83535dc34f20954d15c5b66f7fa4f0,benign_cleared,F01261,high_scoring_false_positive,0.8571425080299377,1.0
C7d41b7f77723,base:0x987ebc7e0603d28ccac96d14ef5d71761aa2585e,base,0x987ebc7e0603d28ccac96d14ef5d71761aa2585e,benign_cleared,F00852,high_scoring_false_positive,0.7130051255226135,1.0
Cfe40ac03e307,optimism:0xa238aa367874f84a1fa5c7bae0e30d5cdc39095d,optimism,0xa238aa367874f84a1fa5c7bae0e30d5cdc39095d,benign_cleared,F00700,high_scoring_false_positive,0.4853513538837433,1.0
C863a82810de5,base:0xd710325b51990121f0e74f14debe7b0faf675670,base,0xd710325b51990121f0e74f14debe7b0faf675670,benign_cleared,F00031,high_scoring_false_positive,0.5608994960784912,1.0
Cdfc28d0a7fc1,base:0x0639b5eaec8c118b8c105f597b5fdcebab679276,base,0x0639b5eaec8c118b8c105f597b5fdcebab679276,benign_cleared,F00031,high_scoring_false_positive,0.7477308511734009,1.0
Cca48e4268947,ethereum:0x87bdb776dcf85ee4332212edfe6e7904ff1dfd28,ethereum,0x87bdb776dcf85ee4332212edfe6e7904ff1dfd28,benign_cleared,F00850,high_scoring_false_positive,0.5087680816650391,1.0
Cc7c56e277eef,ethereum:0x0d84ff4f5fa860f968bd27113b01130ea6ca3438,ethereum,0x0d84ff4f5fa860f968bd27113b01130ea6ca3438,benign_cleared,F00850,high_scoring_false_positive,0.5087680816650391,1.0
Cb62cff1f4bd3,ethereum:0x391fcdb33750cf6e27a3968789126654a47f22a5,ethereum,0x391fcdb33750cf6e27a3968789126654a47f22a5,benign_cleared,F01084,high_scoring_false_positive,0.8658173084259033,1.0
Caa7c68526997,ethereum:0x12d37509b09cbaff2d79475e10b9a2477b0369a8,ethereum,0x12d37509b09cbaff2d79475e10b9a2477b0369a8,benign_cleared,F01054,high_scoring_false_positive,0.5421833992004395,1.0
C9ec2d092b861,ethereum:0x4c136ac1882a44ac4faeadc38980e257eda369f2,ethereum,0x4c136ac1882a44ac4faeadc38980e257eda369f2,benign_cleared,F00850,high_scoring_false_positive,0.5087680816650391,1.0
Ce005518e67b3,ethereum:0xc93a971c76ee943bf440b51aacf960786c0a8879,ethereum,0xc93a971c76ee943bf440b51aacf960786c0a8879,benign_cleared,F00850,high_scoring_false_positive,0.5087680816650391,1.0
C5c3e9e2db607,optimism:0x470a618326df6e320680642dd31794b0d2d12d0a,optimism,0x470a618326df6e320680642dd31794b0d2d12d0a,malicious,F00004,low_scoring_false_negative,0.0022749926429241,0.0
Cc8ef3a5475cd,optimism:0xd24371bbe7c248597705b5b6ac753025dc2d2619,optimism,0xd24371bbe7c248597705b5b6ac753025dc2d2619,malicious,F00004,low_scoring_false_negative,0.0109902694821357,0.0
C09918134a60f,polygon:0x32ab10ebca6121659e41d7caa364147d87ebd74e,polygon,0x32ab10ebca6121659e41d7caa364147d87ebd74e,malicious,F00004,low_scoring_false_negative,0.0022749926429241,0.0
C654a1425b595,ethereum:0x00000000007047538007de9dd86921f8992ba638,ethereum,0x00000000007047538007de9dd86921f8992ba638,malicious,F00148,low_scoring_false_negative,0.0140111725777387,0.0
Cc89350fae6ef,base:0x4248c289a3bdc032423ab31902e7b37d42e2d27c,base,0x4248c289a3bdc032423ab31902e7b37d42e2d27c,malicious,F00076,low_scoring_false_negative,0.0091128665953874,0.0
C6f2191e05231,optimism:0xef89adb7fa0cd0b8d877a8cd1022d94b06cacd33,optimism,0xef89adb7fa0cd0b8d877a8cd1022d94b06cacd33,malicious,F00004,low_scoring_false_negative,0.0109902694821357,0.0
Cbec5c3fa96b6,polygon:0xcedb9f87a3cd62e343c54722ca60053428c32362,polygon,0xcedb9f87a3cd62e343c54722ca60053428c32362,malicious,F00004,low_scoring_false_negative,0.0022749926429241,0.0
Cc6ed5b27fd51,optimism:0x5f41de8793e074117d8b9d8f06c40dee00ea3d9f,optimism,0x5f41de8793e074117d8b9d8f06c40dee00ea3d9f,malicious,F00004,low_scoring_false_negative,0.0109902694821357,0.0
C34b58c63acb8,ethereum:0xee8a08362b98290d6f78f6781b756dd347d2df51,ethereum,0xee8a08362b98290d6f78f6781b756dd347d2df51,malicious,F00151,low_scoring_false_negative,0.0127876168116927,0.0
C70250822ed91,ethereum:0x98d54ea32246e9aa3b3d531685e1fd34194a3e63,ethereum,0x98d54ea32246e9aa3b3d531685e1fd34194a3e63,malicious,F00103,low_scoring_false_negative,0.0117967948317527,0.0
Cd6013551a3d1,arbitrum:0x5b5f9ee26421e88a6509f68d0b50a98e1946d96d,arbitrum,0x5b5f9ee26421e88a6509f68d0b50a98e1946d96d,malicious,F00048,low_scoring_false_negative,0.0061784680001437,0.0
C62bb6b79cf19,bnb:0xaf790557ca8cf63530e88fe2f7ac6c6efd38d3b3,bnb,0xaf790557ca8cf63530e88fe2f7ac6c6efd38d3b3,malicious,F00041,low_scoring_false_negative,0.0164244249463081,0.0
Ca16894d6400d,polygon:0x3427012d72b11e5a091085266ce96a9e0295913e,polygon,0x3427012d72b11e5a091085266ce96a9e0295913e,malicious,F00041,low_scoring_false_negative,0.0097325099632143,0.0
C06adf21f9d34,optimism:0xfefd9d2e36fba47db535ca720365c51ba906d2da,optimism,0xfefd9d2e36fba47db535ca720365c51ba906d2da,malicious,F00004,low_scoring_false_negative,0.0109902694821357,0.0
C5afa55224873,optimism:0x0d69833bdd2ee5d545b950a85fcb1db9ed2b7572,optimism,0x0d69833bdd2ee5d545b950a85fcb1db9ed2b7572,malicious,F00004,low_scoring_false_negative,0.0109902694821357,0.0
C20e38b5c30e3,ethereum:0x7be15e236cdb8c9c5e74c33e2d63e2c184573487,ethereum,0x7be15e236cdb8c9c5e74c33e2d63e2c184573487,malicious,F00103,low_scoring_false_negative,0.0133966179564595,0.0
C534a056b2e47,optimism:0x06839a2e8541f56ac5e9e42656ff6c534ad2558c,optimism,0x06839a2e8541f56ac5e9e42656ff6c534ad2558c,malicious,F00004,low_scoring_false_negative,0.0109902694821357,0.0
C0306c74a6f3d,optimism:0x56687f747b1762c318e80b2de713eb9885a4402e,optimism,0x56687f747b1762c318e80b2de713eb9885a4402e,malicious,F00004,low_scoring_false_negative,0.0109902694821357,0.0
Cde3d9f29dda8,optimism:0x281f3e79775f61cccfc7b7c3eacdc4f15a7f3252,optimism,0x281f3e79775f61cccfc7b7c3eacdc4f15a7f3252,malicious,F00004,low_scoring_false_negative,0.0109902694821357,0.0
Cea841fe09648,optimism:0x93d473ce2ceb00af7489694511ca778deb83ef88,optimism,0x93d473ce2ceb00af7489694511ca778deb83ef88,malicious,F00004,low_scoring_false_negative,0.0109902694821357,0.0
C832f5eaaf151,optimism:0xbb90a78b86f3f756c160886ebe7029205c4ba3f1,optimism,0xbb90a78b86f3f756c160886ebe7029205c4ba3f1,malicious,F00004,low_scoring_false_negative,0.0109902694821357,0.0
C6b1b7aa610bc,optimism:0x653c2018585b155586026d383044cb6683fc2ae4,optimism,0x653c2018585b155586026d383044cb6683fc2ae4,malicious,F00004,low_scoring_false_negative,0.0109902694821357,0.0
C4e0d8952f0c4,optimism:0x761dc36a52733214423d04f4dcd84083e15d3735,optimism,0x761dc36a52733214423d04f4dcd84083e15d3735,malicious,F00004,low_scoring_false_negative,0.0109902694821357,0.0
Cc0af18cda3ff,base:0xff2318cd698c23f37c2fcf03a57df69e43165b48,base,0xff2318cd698c23f37c2fcf03a57df69e43165b48,malicious,F00023,high_confidence_correct,0.9112998247146606,1.0
C6031dac78881,arbitrum:0x4e5575d4e5b559f32a3fb26711de499280b53bc9,arbitrum,0x4e5575d4e5b559f32a3fb26711de499280b53bc9,malicious,F00031,high_confidence_correct,0.9722050428390504,1.0
Ccb96ba002648,bnb:0xd02bff2e76ac896ee89081ec615cb71159564bfb,bnb,0xd02bff2e76ac896ee89081ec615cb71159564bfb,malicious,F00025,high_confidence_correct,0.9575449824333192,1.0
Ca31f9b4943c5,bnb:0x8679ef70e32f9a0e2141e9818654ed2a9db571e9,bnb,0x8679ef70e32f9a0e2141e9818654ed2a9db571e9,malicious,F00039,high_confidence_correct,0.9877493977546692,1.0
C5c4d886d5bf4,base:0x062aa27842a3bbc6949b5d18e6dd5332a49a4555,base,0x062aa27842a3bbc6949b5d18e6dd5332a49a4555,malicious,F00039,high_confidence_correct,0.9651987552642822,1.0
C064d69696fb4,ethereum:0x577667e200d0ff51df790446de9b3f078c322726,ethereum,0x577667e200d0ff51df790446de9b3f078c322726,malicious,F00003,high_confidence_correct,0.9883285760879515,1.0
C617e7d6de7de,optimism:0x000054507a812fd32582e7a997c83e6d446fd60e,optimism,0x000054507a812fd32582e7a997c83e6d446fd60e,malicious,F00013,high_confidence_correct,0.9099796414375304,1.0
C11e1f6f71dc5,arbitrum:0x0061a9da09d7deac392c4b17f3718fecba7c5259,arbitrum,0x0061a9da09d7deac392c4b17f3718fecba7c5259,malicious,F00023,high_confidence_correct,0.9112998247146606,1.0
C54f1d9662405,ethereum:0xeb63ad112c162be423c6e59246995b4aa48fb1bf,ethereum,0xeb63ad112c162be423c6e59246995b4aa48fb1bf,malicious,F00152,high_confidence_correct,0.9885373115539552,1.0
C72407f3a2637,ethereum:0x0000ce484ce6afbf650eb6b009dae2655aa39fc4,ethereum,0x0000ce484ce6afbf650eb6b009dae2655aa39fc4,malicious,F00013,high_confidence_correct,0.9294654726982116,1.0
C8d2c28287600,bnb:0x53479b5102f2aca800275152e801f2e638f5e8c0,bnb,0x53479b5102f2aca800275152e801f2e638f5e8c0,malicious,F00031,high_confidence_correct,0.995694637298584,1.0
Caf11b2f8dc40,ethereum:0xb083055e11094618f5c7e1d801f6518184f4b6cc,ethereum,0xb083055e11094618f5c7e1d801f6518184f4b6cc,malicious,F00008,high_confidence_correct,0.9205178022384644,1.0
C57b7c55d1c3b,ethereum:0xecdbddd1644a5a53fea4571131c4ed0418f37f61,ethereum,0xecdbddd1644a5a53fea4571131c4ed0418f37f61,malicious,F00120,high_confidence_correct,0.9111168384552002,1.0
Cfedea7b2e239,base:0x00037763c2c4e6efa6bf9a03775f6a0b5112b578,base,0x00037763c2c4e6efa6bf9a03775f6a0b5112b578,malicious,F00013,high_confidence_correct,0.95522278547287,1.0
Cabb007e84b5b,base:0x09551d2ab499d73affed001b54d483942e11e0ff,base,0x09551d2ab499d73affed001b54d483942e11e0ff,malicious,F00088,high_confidence_correct,0.9695290923118592,1.0
Cc127bc7030be,base:0x1d383d085d87aa0105930bf141605d8e6983d299,base,0x1d383d085d87aa0105930bf141605d8e6983d299,malicious,F00085,high_confidence_correct,0.9904888868331908,1.0
Cf21d1e68e357,arbitrum:0x000005d2c018e5146489b81e850cf3c31260bd97,arbitrum,0x000005d2c018e5146489b81e850cf3c31260bd97,malicious,F00037,high_confidence_correct,0.9882965683937072,1.0
Cf1e2d9f90eec,bnb:0xef99fc5bd1de62fd410cba408d822beeb01fe4d3,bnb,0xef99fc5bd1de62fd410cba408d822beeb01fe4d3,malicious,F00120,high_confidence_correct,0.9114025235176086,1.0
C73ce57af3c89,bnb:0x05193469cf5fd50716a6b1c4a9b7da70b1077c63,bnb,0x05193469cf5fd50716a6b1c4a9b7da70b1077c63,malicious,F00031,high_confidence_correct,0.9967466592788696,1.0
C8d99c7bd7812,optimism:0x89046d34e70a65acab2152c26a0c8e493b5ba629,optimism,0x89046d34e70a65acab2152c26a0c8e493b5ba629,malicious,F00008,high_confidence_correct,0.923460066318512,1.0
Ce4fc7900e217,ethereum:0x6db52cd2d4c1f6f8cc4f6a84b11b43c4e6b9a303,ethereum,0x6db52cd2d4c1f6f8cc4f6a84b11b43c4e6b9a303,malicious,F00024,high_confidence_correct,0.9968714118003844,1.0
Cb564e8b35415,ethereum:0x00037763c2c4e6efa6bf9a03775f6a0b5112b578,ethereum,0x00037763c2c4e6efa6bf9a03775f6a0b5112b578,malicious,F00013,high_confidence_correct,0.95522278547287,1.0
C78f785e9c94a,ethereum:0xa25f6ef06880a2c7e2bda3e647011235c68bcacb,ethereum,0xa25f6ef06880a2c7e2bda3e647011235c68bcacb,malicious,F00023,high_confidence_correct,0.9112998247146606,1.0
C2b074b5509fa,base:0x0000ee48d8540fe16c7e421fd6e61bdecb2748d7,base,0x0000ee48d8540fe16c7e421fd6e61bdecb2748d7,malicious,F00013,high_confidence_correct,0.9441752433776855,1.0
Ce7162ab5ea21,ethereum:0x777e03001d4b2b5ecca3a10474ba355f95630f56,ethereum,0x777e03001d4b2b5ecca3a10474ba355f95630f56,malicious,F00149,high_confidence_correct,0.920640766620636,1.0
Cfd7481b4fe05,optimism:0xe7485fb4850972ca243988c0e1fce94bde7a3773,optimism,0xe7485fb4850972ca243988c0e1fce94bde7a3773,malicious,F00031,exact_bytecode_conflict,0.9904167652130128,1.0
Ce919287b704b,gnosis:0x95eb89311ffb27112e657b8a6eaaf7391192c83a,gnosis,0x95eb89311ffb27112e657b8a6eaaf7391192c83a,malicious,F00038,exact_bytecode_conflict,0.9246527552604676,1.0
C4f09a6d06be9,gnosis:0x68b33b340cce1e563877337865d91f595147e338,gnosis,0x68b33b340cce1e563877337865d91f595147e338,malicious,F00036,exact_bytecode_conflict,0.994827926158905,1.0
C037cf5856bd9,base:0xaa114220c7f4b01ce91c6722da84e6f8021f7358,base,0xaa114220c7f4b01ce91c6722da84e6f8021f7358,malicious,F00059,exact_bytecode_conflict,0.9812780022621156,1.0
Cf1e66689db78,base:0x5f0393396359b58366049e7b11aa786de4c473fd,base,0x5f0393396359b58366049e7b11aa786de4c473fd,malicious,F00008,exact_bytecode_conflict,0.8855946660041809,1.0
Cdc59df03b782,base:0x1fbb9d39e147908257dbc08cfea288eb860de43c,base,0x1fbb9d39e147908257dbc08cfea288eb860de43c,malicious,F00079,exact_bytecode_conflict,0.8023949861526489,1.0
C407e555a2fd5,base:0x628ff693426583d9a7fb391e54366292f509d457,base,0x628ff693426583d9a7fb391e54366292f509d457,malicious,F00102,exact_bytecode_conflict,0.0064187510870397,0.0
