chain,address,proposed_label,confidence,review_path
ethereum,0x39165d069fb2ad145cafa7c4bf710f4566aa5218,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x39165d069fb2ad145cafa7c4bf710f4566aa5218.json
ethereum,0x3cf32d4d57e91e0a1c3658884040889dafbe5103,R2,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x3cf32d4d57e91e0a1c3658884040889dafbe5103.json
ethereum,0x3e515544f8d8293b0a353e10ff3b7ca03b52f35b,B,high,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x3e515544f8d8293b0a353e10ff3b7ca03b52f35b.json
ethereum,0x438f67c2aa7ff150352295dcb190c19fb6672ad5,R2,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x438f67c2aa7ff150352295dcb190c19fb6672ad5.json
ethereum,0x47e747f5e8cb5819c966292dd969d989ae9dea5e,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x47e747f5e8cb5819c966292dd969d989ae9dea5e.json
ethereum,0x4884d28f048e66a537762334937e01a044cbdfac,B,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x4884d28f048e66a537762334937e01a044cbdfac.json
ethereum,0x490aac77c960b0569c8e446ac7e12490bd44ca1d,B,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x490aac77c960b0569c8e446ac7e12490bd44ca1d.json
ethereum,0x4ba78e2deed03706fd8b19c4c1c4eddc5b338a14,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x4ba78e2deed03706fd8b19c4c1c4eddc5b338a14.json
ethereum,0x4bf152a41869b2dd66fd9eb6ee250762f3e01671,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x4bf152a41869b2dd66fd9eb6ee250762f3e01671.json
ethereum,0x4eff4d390d89b2195fe3cb63b06731ae584a1375,B,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x4eff4d390d89b2195fe3cb63b06731ae584a1375.json
ethereum,0x535023ed14a1862444ec29d0fe07cf3092c73bc2,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x535023ed14a1862444ec29d0fe07cf3092c73bc2.json
ethereum,0x545940f521452b4138b360ad55e28667ea07a8bf,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x545940f521452b4138b360ad55e28667ea07a8bf.json
ethereum,0x563f842256263621947cad4deb105e0eaf2deee3,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x563f842256263621947cad4deb105e0eaf2deee3.json
ethereum,0x58e02510ae94eff8e555aad51b2440b2527f9cea,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x58e02510ae94eff8e555aad51b2440b2527f9cea.json
ethereum,0x5fda61f6fb45b73a87b9bccb69f56475e3455567,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x5fda61f6fb45b73a87b9bccb69f56475e3455567.json
ethereum,0x60f1e45497ea06fce6770be67396acfca9bd8512,B,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x60f1e45497ea06fce6770be67396acfca9bd8512.json
ethereum,0x612373d7003d694220f7800eeaf8e3924c0951d3,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x612373d7003d694220f7800eeaf8e3924c0951d3.json
ethereum,0x63c0c19a282a1b52b07dd5a65b58948a07dae32b,B,high,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x63c0c19a282a1b52b07dd5a65b58948a07dae32b.json
ethereum,0x69007702764179f14f51cdce752f4f775d74e139,R2,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x69007702764179f14f51cdce752f4f775d74e139.json
ethereum,0x69e6bd1c4082403fc7917a61f6216552fc1a541d,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x69e6bd1c4082403fc7917a61f6216552fc1a541d.json
ethereum,0x6cb8370f4883822965c5c6565df5adca990d7aa3,B,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x6cb8370f4883822965c5c6565df5adca990d7aa3.json
ethereum,0x758aa86b0cf3db98105dec5522a799ad4d800942,R2,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x758aa86b0cf3db98105dec5522a799ad4d800942.json
ethereum,0x765bb67215871759d0e54cef5796bb79c48ce2e9,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x765bb67215871759d0e54cef5796bb79c48ce2e9.json
ethereum,0x7702cb554e6bfb442cb743a7df23154544a7176c,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x7702cb554e6bfb442cb743a7df23154544a7176c.json
ethereum,0x7785a22facd31db653ba4928f1d5b81d093f0b2f,R2,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x7785a22facd31db653ba4928f1d5b81d093f0b2f.json
ethereum,0x7c27e3aecbf42879b64d76f604dc3430f4886462,R2,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x7c27e3aecbf42879b64d76f604dc3430f4886462.json
ethereum,0x81f604e86f6c02c982075efcea800de826598f2a,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x81f604e86f6c02c982075efcea800de826598f2a.json
ethereum,0x8257a9c7e3c068cac3ccd688546ab8c363ae10fd,B,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x8257a9c7e3c068cac3ccd688546ab8c363ae10fd.json
ethereum,0x88cf071b4bf5facab6712070a671f71282188d46,B,high,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x88cf071b4bf5facab6712070a671f71282188d46.json
ethereum,0x89383882fc2d0cd4d7952a3267a3b6dae967e704,R2,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x89383882fc2d0cd4d7952a3267a3b6dae967e704.json
ethereum,0x955d84139e7621bc571b117d8eb5d28a4a222c6f,B,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x955d84139e7621bc571b117d8eb5d28a4a222c6f.json
ethereum,0x9a6bc2f56b9bbcb5a354d336dbda10ef8febd0ec,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0x9a6bc2f56b9bbcb5a354d336dbda10ef8febd0ec.json
ethereum,0xa34e1e389097409aa65ff374af50b402e4a8f5c3,B,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xa34e1e389097409aa65ff374af50b402e4a8f5c3.json
ethereum,0xa4b0c4366ca08cc913e225189015b135c240faf0,B,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xa4b0c4366ca08cc913e225189015b135c240faf0.json
ethereum,0xa4b2befee38792b931777df37feae679ed8cfa17,B,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xa4b2befee38792b931777df37feae679ed8cfa17.json
ethereum,0xa5817eac0d9e783857ee7d12ff2d232ec1013ff0,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xa5817eac0d9e783857ee7d12ff2d232ec1013ff0.json
ethereum,0xa5944f5f00c87d75394fbfe701a641a3b9b8ef3c,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xa5944f5f00c87d75394fbfe701a641a3b9b8ef3c.json
ethereum,0xad9cca330a131cd3bf3886db21d734ec60ab3076,B,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xad9cca330a131cd3bf3886db21d734ec60ab3076.json
ethereum,0xb84076cad6043ad43712fb1930b1f5b3e31e3ef2,B,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xb84076cad6043ad43712fb1930b1f5b3e31e3ef2.json
ethereum,0xba46592f35043cc9f046cab73cced6e83c11207e,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xba46592f35043cc9f046cab73cced6e83c11207e.json
ethereum,0xc3c89ff8589644332c916d9c6ec2883eb69d44e5,R2,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xc3c89ff8589644332c916d9c6ec2883eb69d44e5.json
ethereum,0xc43b6c6a43e5760a756a67756b2155c7fa735310,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xc43b6c6a43e5760a756a67756b2155c7fa735310.json
ethereum,0xc4bfc6712347f63ffd05a8e2d26f148e6f63e082,B,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xc4bfc6712347f63ffd05a8e2d26f148e6f63e082.json
ethereum,0xc7c81d704e705f47a6c5ce33a82fb110883f4aec,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xc7c81d704e705f47a6c5ce33a82fb110883f4aec.json
ethereum,0xc99965fb12027683a76c6c7d595fe8bb9096e727,B,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xc99965fb12027683a76c6c7d595fe8bb9096e727.json
ethereum,0xcc0c946eecf01a4bc76bc333ea74ceb04756f17b,B,high,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xcc0c946eecf01a4bc76bc333ea74ceb04756f17b.json
ethereum,0xcda3577ca7ef65f6b7201e9bd80375f5628d15f7,B,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xcda3577ca7ef65f6b7201e9bd80375f5628d15f7.json
ethereum,0xd1bc2349a57a0621deeb0a85e923991eb187a02d,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xd1bc2349a57a0621deeb0a85e923991eb187a02d.json
ethereum,0xd2c66eb938fe5847522891a247264eac90eea93e,B,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xd2c66eb938fe5847522891a247264eac90eea93e.json
ethereum,0xd2e28229f6f2c235e57de2ebc727025a1d0530fb,B,high,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xd2e28229f6f2c235e57de2ebc727025a1d0530fb.json
ethereum,0xd6cedde84be40893d153be9d467cd6ad37875b28,R2,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xd6cedde84be40893d153be9d467cd6ad37875b28.json
ethereum,0xda1333d76a1b9883022513c089a0ca84043cf079,R2,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xda1333d76a1b9883022513c089a0ca84043cf079.json
ethereum,0xe135b1b9cdbafa9d3cb56b10d20945db5a95963e,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xe135b1b9cdbafa9d3cb56b10d20945db5a95963e.json
ethereum,0xe3014e9ab2739adef234b3829c79128746160178,B,high,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xe3014e9ab2739adef234b3829c79128746160178.json
ethereum,0xe40ccb2d94975c51bff0c004efdfd9b3a5796fa4,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xe40ccb2d94975c51bff0c004efdfd9b3a5796fa4.json
ethereum,0xe4f741b8b86f7379cd8d3f1d1bebedc971ef82e7,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xe4f741b8b86f7379cd8d3f1d1bebedc971ef82e7.json
ethereum,0xe6b97aa1490c93c28a14d86c13c9dc9c950643ed,B,high,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xe6b97aa1490c93c28a14d86c13c9dc9c950643ed.json
ethereum,0xe6cae83bde06e4c305530e199d7217f42808555b,B,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xe6cae83bde06e4c305530e199d7217f42808555b.json
ethereum,0xea9a903ea7db3c6a803b7d75cfb032f0b29e4983,B,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xea9a903ea7db3c6a803b7d75cfb032f0b29e4983.json
ethereum,0xecad547e905892ff19d162ca57b91f0fecf78469,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xecad547e905892ff19d162ca57b91f0fecf78469.json
ethereum,0xf4b2569a806c1f4d1be0cebc3f0475a3d17a1c4d,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xf4b2569a806c1f4d1be0cebc3f0475a3d17a1c4d.json
ethereum,0xf4f3022183afcdca51469e760976811652b1d1d7,R2,low,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xf4f3022183afcdca51469e760976811652b1d1d7.json
ethereum,0xf67b710f95eb8aa07a3180f0addd469fe6e6bde0,R2,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xf67b710f95eb8aa07a3180f0addd469fe6e6bde0.json
ethereum,0xfb1b8fb55d1aabeb96bc1c36a9754b28e46a8b6a,B,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xfb1b8fb55d1aabeb96bc1c36a9754b28e46a8b6a.json
ethereum,0xfc2c64ce1c098a7328874dd09d9a71e306d1a948,R2,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xfc2c64ce1c098a7328874dd09d9a71e306d1a948.json
ethereum,0xff26b51fb5a6420453f362e26dc5e3d5adbfa208,B,medium,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v1/ethereum_0xff26b51fb5a6420453f362e26dc5e3d5adbfa208.json
