0x0	0xe
0x1e7cB0x5b8	0x1e89B0x5b8
0x32d5B0x7c7	0x3306B0x7c7
0x204fB0x929	0x2061B0x929
0x2063B0xa67	0x2075B0xa67
0x33ceB0xe0e	0x33d8B0xe0e
0x33ceB0xe1f	0x33d8B0xe1f
0x1eedB0x12aa	0x1f05B0x12aa
0x32d5B0x13b3	0x3306B0x13b3
0x1f42B0x1583	0x1f610x1f42B0x1583
0x32d5B0x162a	0x3306B0x162a
0x21a2B0x1681	0x21d2B0x1681
0x208aB0x19c4	0x209dB0x19c4
0x209dB0x19c4	0x20adB0x19c4
0x2078B0x19c4	0x208aB0x19c4
0x1e89B0x1a68	0x1e9cB0x1a68
0x1e9cB0x1a68	0x1eabB0x1a68
0x1e7cB0x1a68	0x1e89B0x1a68
0x1e3cB0x1b8b	0x1e4dB0x1b8b
0x1e1dB0x1b8b	0x1e2aB0x1b8b
0x1e2aB0x1b8b	0x1e3cB0x1b8b
0x1e6dB0x1bad	0x1e7bB0x1bad
0x1e4eB0x1bad	0x1e5bB0x1bad
0x1e5bB0x1bad	0x1e6dB0x1bad
0x204fB0x1db9	0x2061B0x1db9
0x1f42B0x87	0x1f610x1f42B0x87
0x2566B0x217	0x2597B0x217
0x202eB0x248	0x2041B0x248
0x2041B0x248	0x204eB0x248
0x201cB0x248	0x202eB0x248
0x204fB0x25e	0x2061B0x25e
0x208aB0x271	0x209dB0x271
0x209dB0x271	0x20adB0x271
0x2078B0x271	0x208aB0x271
0x1f09B0x28a	0x1f22B0x28a
0x2d22B0x3ad	0x2d3eB0x3ad
0x2d4dB0x3ad	0x2d8bB0x3ad
0x2d3eB0x3ad	0x2d46B0x3ad
0x2d8bB0x3ad	0x2d93B0x3ad
0x2dcfB0x3c6	0x2ddfB0x3c6
0x2ddfB0x3c6	0x2de7B0x3c6
0x1f42B0x486	0x1f610x1f42B0x486
0x1f42B0x4db	0x1f610x1f42B0x4db
0x204fB0x5c2	0x2061B0x5c2
0x208aB0x5d1	0x209dB0x5d1
0x209dB0x5d1	0x20adB0x5d1
0x2078B0x5d1	0x208aB0x5d1
0x2063B0x609	0x2075B0x609
0x1f42B0x12eb8	0x1f610x1f42B0x12eb8
0x20aeB0x5e8	0x20b1B0x5e8
0x20b1B0x5e8	0x20b9B0x5e8
0x2063B0x61e	0x2075B0x61e
0x1f42B0x81e	0x1f610x1f42B0x81e
0x204fB0x860	0x2061B0x860
0x204fB0x87a	0x2061B0x87a
0x208aB0x88a	0x209dB0x88a
0x209dB0x88a	0x20adB0x88a
0x2078B0x88a	0x208aB0x88a
0x208aB0x89e	0x209dB0x89e
0x209dB0x89e	0x20adB0x89e
0x2078B0x89e	0x208aB0x89e
0x33b0B0x8ea	0x33bfB0x8ea
0x1f42B0x24d9	0x1f610x1f42B0x24d9
0x204fB0x936	0x2061B0x936
0x33b0B0x944	0x33bfB0x944
0x208aB0x953	0x209dB0x953
0x209dB0x953	0x20adB0x953
0x2078B0x953	0x208aB0x953
0x1f42B0x986	0x1f610x1f42B0x986
0x1f42B0x12f2d	0x1f610x1f42B0x12f2d
0x20aeB0x12f5a	0x20b1B0x12f5a
0x20b1B0x12f5a	0x20b9B0x12f5a
0x208aB0x9a2	0x209dB0x9a2
0x209dB0x9a2	0x20adB0x9a2
0x2078B0x9a2	0x208aB0x9a2
0x1f09B0x9c8	0x1f22B0x9c8
0x1f42B0x12f8d	0x1f610x1f42B0x12f8d
0x20aeB0x12fba	0x20b1B0x12fba
0x20b1B0x12fba	0x20b9B0x12fba
0x21e7B0x9da	0x21faB0x9da
0x21faB0x9da	0x220aB0x9da
0x21d5B0x9da	0x21e7B0x9da
0x208aB0xa4b	0x209dB0xa4b
0x209dB0xa4b	0x20adB0xa4b
0x2078B0xa4b	0x208aB0xa4b
0x202eB0xa7e	0x2041B0xa7e
0x2041B0xa7e	0x204eB0xa7e
0x201cB0xa7e	0x202eB0xa7e
0x244fB0xb85	0x247cB0xb85
0x1f42B0xd0f	0x1f610x1f42B0xd0f
0x202eB0xabd	0x2041B0xabd
0x2041B0xabd	0x204eB0xabd
0x201cB0xabd	0x202eB0xabd
0x33ceB0xe3a	0x33d8B0xe3a
0x204fB0x1186	0x2061B0x1186
0x33ceB0x12fed	0x33d8B0x12fed
0x1f42B0x10db	0x1f610x1f42B0x10db
0x2063B0x11a9	0x2075B0x11a9
0x33ceB0x13061	0x33d8B0x13061
0x1eb4B0x12b9	0x1ec7B0x12b9
0x1f42B0x14a2	0x1f610x1f42B0x14a2
0x1eb4B0x15b1	0x1ec7B0x15b1
0x208aB0x195d	0x209dB0x195d
0x209dB0x195d	0x20adB0x195d
0x2078B0x195d	0x208aB0x195d
0x21a2B0x185e	0x21d2B0x185e
0x244fB0x13110	0x247cB0x13110
0x21e7B0x16a1	0x21faB0x16a1
0x21faB0x16a1	0x220aB0x16a1
0x21d5B0x16a1	0x21e7B0x16a1
0x202eB0x13141	0x2041B0x13141
0x2041B0x13141	0x204eB0x13141
0x201cB0x13141	0x202eB0x13141
0x204fB0x1776	0x2061B0x1776
0x1f42B0x17f2	0x1f610x1f42B0x17f2
0x244fB0x131fc	0x247cB0x131fc
0x21e7B0x187f	0x21faB0x187f
0x21faB0x187f	0x220aB0x187f
0x21d5B0x187f	0x21e7B0x187f
0x202eB0x1322d	0x2041B0x1322d
0x2041B0x1322d	0x204eB0x1322d
0x201cB0x1322d	0x202eB0x1322d
0x3338B0x196d	0x333aB0x196d
0x332fB0x196d	0x3338B0x196d
0x3359B0x196d	0x3367B0x196d
0x3379B0x196d	0x3381B0x196d
0x333aB0x196d	0x3342B0x196d
0x1f42B0x1a11	0x1f610x1f42B0x1a11
0x1f42B0x19ee	0x1f610x1f42B0x19ee
0x1f42B0x132e8	0x1f610x1f42B0x132e8
0x20aeB0x19db	0x20b1B0x19db
0x20b1B0x19db	0x20b9B0x19db
0x2566B0x1bba	0x2597B0x1bba
0x204fB0x1bf1	0x2061B0x1bf1
0x202eB0x1be2	0x2041B0x1be2
0x2041B0x1be2	0x204eB0x1be2
0x201cB0x1be2	0x202eB0x1be2
0x208aB0x1c04	0x209dB0x1c04
0x209dB0x1c04	0x20adB0x1c04
0x2078B0x1c04	0x208aB0x1c04
0x2d22B0x1d3c	0x2d3eB0x1d3c
0x2d4dB0x1d3c	0x2d8bB0x1d3c
0x2d3eB0x1d3c	0x2d46B0x1d3c
0x2d8bB0x1d3c	0x2d93B0x1d3c
0x2dcfB0x1d55	0x2ddfB0x1d55
0x2ddfB0x1d55	0x2de7B0x1d55
0x2063B0x1dd4	0x2075B0x1dd4
0x1f42B0x1df8	0x1f610x1f42B0x1df8
0x1f42B0x1fea	0x1f610x1f42B0x1fea
0x1f42B0x1f81	0x1f610x1f42B0x1f81
0x1f42B0x2ce2	0x1f610x1f42B0x2ce2
0x33ceB0xe8e	0x33d8B0xe8e
0x204fB0x84a	0x2061B0x84a
0x392fB0xdcf	0x3939B0xdcf
0x3942B0xdcf	0x395bB0xdcf
0x3979B0xdcf	0x398cB0xdcf
0x39d3B0xdcf	0x39dbB0xdcf
0x396cB0xdcf	0x3973B0xdcf
0x3963B0xdcf	0x396cB0xdcf
0x395bB0xdcf	0x3963B0xdcf
0x33ceB0xdf2	0x33d8B0xdf2
0x204fB0x192f	0x2061B0x192f
0x2cbeB0x80f	0x2cceB0x80f
0x1f42B0x3659B0x253	0x1f610x1f42B0x3659B0x253
0x1f42B0x3685B0x268	0x1f610x1f42B0x3685B0x268
0x1f42B0x373fB0x268	0x1f610x1f42B0x373fB0x268
0x2cbeB0x2cd6	0x2cceB0x2cd6
0x25d0B0xbce	0x25e7B0xbce
0x25f7B0xbce	0x2635B0xbce
0x25e7B0xbce	0x25efB0xbce
0x1eb4B0x2635B0xbce	0x1ec7B0x2635B0xbce
0x2296B0x2656B0xbce	0x22adB0x2656B0xbce
0x2285B0x2656B0xbce	0x2296B0x2656B0xbce
0x22adB0x2656B0xbce	0x22b6B0x2656B0xbce
0x1eb4B0x22d7B0x16bf	0x1ec7B0x22d7B0x16bf
0x1eb4B0x22ecB0x16bf	0x1ec7B0x22ecB0x16bf
0x221cB0x2303B0x16bf	0x2233B0x2303B0x16bf
0x220bB0x2303B0x16bf	0x221cB0x2303B0x16bf
0x2233B0x2303B0x16bf	0x223fB0x2303B0x16bf
0x2296B0x23d8B0x16bf	0x22adB0x23d8B0x16bf
0x2285B0x23d8B0x16bf	0x2296B0x23d8B0x16bf
0x22adB0x23d8B0x16bf	0x22b6B0x23d8B0x16bf
0x2271B0x23b6B0x16bf	0x2282B0x23b6B0x16bf
0x2271B0x2387B0x16bf	0x2282B0x2387B0x16bf
0x221cB0x236aB0x16bf	0x2233B0x236aB0x16bf
0x220bB0x236aB0x16bf	0x221cB0x236aB0x16bf
0x2233B0x236aB0x16bf	0x223fB0x236aB0x16bf
0x224cB0x2357B0x16bf	0x2254B0x2357B0x16bf
0x2240B0x2357B0x16bf	0x224cB0x2357B0x16bf
0x224cB0x2378B0x16bf	0x2254B0x2378B0x16bf
0x2240B0x2378B0x16bf	0x224cB0x2378B0x16bf
0x2296B0x239aB0x16bf	0x22adB0x239aB0x16bf
0x2285B0x239aB0x16bf	0x2296B0x239aB0x16bf
0x22adB0x239aB0x16bf	0x22b6B0x239aB0x16bf
0x2296B0x23c9B0x16bf	0x22adB0x23c9B0x16bf
0x2285B0x23c9B0x16bf	0x2296B0x23c9B0x16bf
0x22adB0x23c9B0x16bf	0x22b6B0x23c9B0x16bf
0x2296B0x2436B0x1316d	0x22adB0x2436B0x1316d
0x2285B0x2436B0x1316d	0x2296B0x2436B0x1316d
0x22adB0x2436B0x1316d	0x22b6B0x2436B0x1316d
0x2296B0x241bB0x1316d	0x22adB0x241bB0x1316d
0x2285B0x241bB0x1316d	0x2296B0x241bB0x1316d
0x22adB0x241bB0x1316d	0x22b6B0x241bB0x1316d
0x2296B0x23f6B0x1316d	0x22adB0x23f6B0x1316d
0x2285B0x23f6B0x1316d	0x2296B0x23f6B0x1316d
0x22adB0x23f6B0x1316d	0x22b6B0x23f6B0x1316d
0x1eb4B0x22d7B0x1890	0x1ec7B0x22d7B0x1890
0x1eb4B0x22ecB0x1890	0x1ec7B0x22ecB0x1890
0x221cB0x2303B0x1890	0x2233B0x2303B0x1890
0x220bB0x2303B0x1890	0x221cB0x2303B0x1890
0x2233B0x2303B0x1890	0x223fB0x2303B0x1890
0x2296B0x23d8B0x1890	0x22adB0x23d8B0x1890
0x2285B0x23d8B0x1890	0x2296B0x23d8B0x1890
0x22adB0x23d8B0x1890	0x22b6B0x23d8B0x1890
0x2271B0x23b6B0x1890	0x2282B0x23b6B0x1890
0x2271B0x2387B0x1890	0x2282B0x2387B0x1890
0x221cB0x236aB0x1890	0x2233B0x236aB0x1890
0x220bB0x236aB0x1890	0x221cB0x236aB0x1890
0x2233B0x236aB0x1890	0x223fB0x236aB0x1890
0x224cB0x2357B0x1890	0x2254B0x2357B0x1890
0x2240B0x2357B0x1890	0x224cB0x2357B0x1890
0x224cB0x2378B0x1890	0x2254B0x2378B0x1890
0x2240B0x2378B0x1890	0x224cB0x2378B0x1890
0x2296B0x239aB0x1890	0x22adB0x239aB0x1890
0x2285B0x239aB0x1890	0x2296B0x239aB0x1890
0x22adB0x239aB0x1890	0x22b6B0x239aB0x1890
0x2296B0x23c9B0x1890	0x22adB0x23c9B0x1890
0x2285B0x23c9B0x1890	0x2296B0x23c9B0x1890
0x22adB0x23c9B0x1890	0x22b6B0x23c9B0x1890
0x2296B0x2436B0x13259	0x22adB0x2436B0x13259
0x2285B0x2436B0x13259	0x2296B0x2436B0x13259
0x22adB0x2436B0x13259	0x22b6B0x2436B0x13259
0x2296B0x241bB0x13259	0x22adB0x241bB0x13259
0x2285B0x241bB0x13259	0x2296B0x241bB0x13259
0x22adB0x241bB0x13259	0x22b6B0x241bB0x13259
0x2296B0x23f6B0x13259	0x22adB0x23f6B0x13259
0x2285B0x23f6B0x13259	0x2296B0x23f6B0x13259
0x22adB0x23f6B0x13259	0x22b6B0x23f6B0x13259
0x1f42B0x3659B0x1be9	0x1f610x1f42B0x3659B0x1be9
0x1f42B0x3685B0x1bfb	0x1f610x1f42B0x3685B0x1bfb
0x1f42B0x373fB0x1bfb	0x1f610x1f42B0x373fB0x1bfb
0x253dB0x1c3a	0x254bB0x1c3a
0x1f42B0x252fB0x1c3a	0x1f610x1f42B0x252fB0x1c3a
0x1f65B0x2523B0x1c3a	0x1f75B0x2523B0x1c3a
0x379aB0x27f	0x379dB0x27f
0x37eeB0x27f	0x37f4B0x27f
0x3840B0x27f	0x384bB0x27f
0x37b5B0x27f	0x37bdB0x27f
0x37f4B0x27f	0x37fcB0x27f
0x379dB0x27f	0x37a5B0x27f
0x37a5B0x27f	0x37b5B0x27f
0x1eedB0x384bB0x27f	0x1f05B0x384bB0x27f
0x1f42B0x377dB0x27f	0x1f610x1f42B0x377dB0x27f
0x1f26B0x38cbB0x27f	0x1f3eB0x38cbB0x27f
0x1f42B0x37dfB0x27f	0x1f610x1f42B0x37dfB0x27f
0x1eedB0x38a9B0x27f	0x1f05B0x38a9B0x27f
0x33c1B0x385aB0x27f	0x33c9B0x385aB0x27f
0x33c1B0x386bB0x27f	0x33c9B0x386bB0x27f
0x1f26B0x3875B0x27f	0x1f3eB0x3875B0x27f
0x33ceB0x3882B0x27f	0x33d8B0x3882B0x27f
0x33ceB0x3897B0x27f	0x33d8B0x3897B0x27f
0x1f42B0x37fcB0x27f	0x1f610x1f42B0x37fcB0x27f
0x2cbeB0x3770B0x27f	0x2cceB0x3770B0x27f
0x2cbeB0x378bB0x27f	0x2cceB0x378bB0x27f
0x253dB0x298	0x254bB0x298
0x1f42B0x252fB0x298	0x1f610x1f42B0x252fB0x298
0x1f65B0x2523B0x298	0x1f75B0x2523B0x298
0x2f81B0x494	0x2f91B0x494
0x2f13B0x494	0x2f17B0x494
0x2f2aB0x494	0x2f3aB0x494
0x2f75B0x494	0x2f81B0x494
0x3224B0x494	0x3232B0x494
0x3157B0x494	0x318dB0x494
0x31a4B0x494	0x31aeB0x494
0x2f17B0x494	0x2f1fB0x494
0x31aeB0x494	0x31b4B0x494
0x2fddB0x494	0x2fe4B0x494
0x208aB0x2eceB0x494	0x209dB0x2eceB0x494
0x209dB0x2eceB0x494	0x20adB0x2eceB0x494
0x2078B0x2eceB0x494	0x208aB0x2eceB0x494
0x208aB0x2edcB0x494	0x209dB0x2edcB0x494
0x209dB0x2edcB0x494	0x20adB0x2edcB0x494
0x2078B0x2edcB0x494	0x208aB0x2edcB0x494
0x204fB0x2eebB0x494	0x2061B0x2eebB0x494
0x204fB0x2efdB0x494	0x2061B0x2efdB0x494
0x1f42B0x30bdB0x494	0x1f610x1f42B0x30bdB0x494
0x1f42B0x30cbB0x494	0x1f610x1f42B0x30cbB0x494
0x1f42B0x3196B0x494	0x1f610x1f42B0x3196B0x494
0x392fB0x2f3aB0x494	0x3939B0x2f3aB0x494
0x3942B0x2f3aB0x494	0x395bB0x2f3aB0x494
0x3979B0x2f3aB0x494	0x398cB0x2f3aB0x494
0x39d3B0x2f3aB0x494	0x39dbB0x2f3aB0x494
0x396cB0x2f3aB0x494	0x3973B0x2f3aB0x494
0x3963B0x2f3aB0x494	0x396cB0x2f3aB0x494
0x395bB0x2f3aB0x494	0x3963B0x2f3aB0x494
0x1f65B0x318dB0x494	0x1f75B0x318dB0x494
0x253dB0x12e3b	0x254bB0x12e3b
0x1f42B0x252fB0x12e3b	0x1f610x1f42B0x252fB0x12e3b
0x1f65B0x2523B0x12e3b	0x1f75B0x2523B0x12e3b
0x379aB0x1c15	0x379dB0x1c15
0x37eeB0x1c15	0x37f4B0x1c15
0x3840B0x1c15	0x384bB0x1c15
0x37b5B0x1c15	0x37bdB0x1c15
0x37f4B0x1c15	0x37fcB0x1c15
0x379dB0x1c15	0x37a5B0x1c15
0x37a5B0x1c15	0x37b5B0x1c15
0x1eedB0x384bB0x1c15	0x1f05B0x384bB0x1c15
0x1f42B0x377dB0x1c15	0x1f610x1f42B0x377dB0x1c15
0x1f26B0x38cbB0x1c15	0x1f3eB0x38cbB0x1c15
0x1f42B0x37dfB0x1c15	0x1f610x1f42B0x37dfB0x1c15
0x1eedB0x38a9B0x1c15	0x1f05B0x38a9B0x1c15
0x33c1B0x385aB0x1c15	0x33c9B0x385aB0x1c15
0x33c1B0x386bB0x1c15	0x33c9B0x386bB0x1c15
0x1f26B0x3875B0x1c15	0x1f3eB0x3875B0x1c15
0x33ceB0x3882B0x1c15	0x33d8B0x3882B0x1c15
0x33ceB0x3897B0x1c15	0x33d8B0x3897B0x1c15
0x1f42B0x37fcB0x1c15	0x1f610x1f42B0x37fcB0x1c15
0x2cbeB0x3770B0x1c15	0x2cceB0x3770B0x1c15
0x2cbeB0x378bB0x1c15	0x2cceB0x378bB0x1c15
0x2f81B0x1de3	0x2f91B0x1de3
0x2f13B0x1de3	0x2f17B0x1de3
0x2f2aB0x1de3	0x2f3aB0x1de3
0x2f75B0x1de3	0x2f81B0x1de3
0x3224B0x1de3	0x3232B0x1de3
0x3157B0x1de3	0x318dB0x1de3
0x31a4B0x1de3	0x31aeB0x1de3
0x2f17B0x1de3	0x2f1fB0x1de3
0x31aeB0x1de3	0x31b4B0x1de3
0x2fddB0x1de3	0x2fe4B0x1de3
0x208aB0x2eceB0x1de3	0x209dB0x2eceB0x1de3
0x209dB0x2eceB0x1de3	0x20adB0x2eceB0x1de3
0x2078B0x2eceB0x1de3	0x208aB0x2eceB0x1de3
0x208aB0x2edcB0x1de3	0x209dB0x2edcB0x1de3
0x209dB0x2edcB0x1de3	0x20adB0x2edcB0x1de3
0x2078B0x2edcB0x1de3	0x208aB0x2edcB0x1de3
0x204fB0x2eebB0x1de3	0x2061B0x2eebB0x1de3
0x204fB0x2efdB0x1de3	0x2061B0x2efdB0x1de3
0x1f42B0x30bdB0x1de3	0x1f610x1f42B0x30bdB0x1de3
0x1f42B0x30cbB0x1de3	0x1f610x1f42B0x30cbB0x1de3
0x1f42B0x3196B0x1de3	0x1f610x1f42B0x3196B0x1de3
0x392fB0x2f3aB0x1de3	0x3939B0x2f3aB0x1de3
0x3942B0x2f3aB0x1de3	0x395bB0x2f3aB0x1de3
0x3979B0x2f3aB0x1de3	0x398cB0x2f3aB0x1de3
0x39d3B0x2f3aB0x1de3	0x39dbB0x2f3aB0x1de3
0x396cB0x2f3aB0x1de3	0x3973B0x2f3aB0x1de3
0x3963B0x2f3aB0x1de3	0x396cB0x2f3aB0x1de3
0x395bB0x2f3aB0x1de3	0x3963B0x2f3aB0x1de3
0x1f65B0x318dB0x1de3	0x1f75B0x318dB0x1de3
0x327dB0x12df0	0x3285B0x12df0
0x3263B0x12df0	0x326bB0x12df0
0x3273B0x12df0	0x327dB0x12df0
0x3297B0x12df0	0x329fB0x12df0
0x202eB0x3259B0x12df0	0x2041B0x3259B0x12df0
0x2041B0x3259B0x12df0	0x204eB0x3259B0x12df0
0x201cB0x3259B0x12df0	0x202eB0x3259B0x12df0
0x3a3fB0x326bB0x12df0	0x3a4cB0x326bB0x12df0
0x3a28B0x326bB0x12df0	0x3a30B0x326bB0x12df0
0x3a39B0x326bB0x12df0	0x3a3fB0x326bB0x12df0
0x202eB0x3a1eB0x326bB0x12df0	0x2041B0x3a1eB0x326bB0x12df0
0x2041B0x3a1eB0x326bB0x12df0	0x204eB0x3a1eB0x326bB0x12df0
0x201cB0x3a1eB0x326bB0x12df0	0x202eB0x3a1eB0x326bB0x12df0
0x202eB0x3a30B0x326bB0x12df0	0x2041B0x3a30B0x326bB0x12df0
0x2041B0x3a30B0x326bB0x12df0	0x204eB0x3a30B0x326bB0x12df0
0x201cB0x3a30B0x326bB0x12df0	0x202eB0x3a30B0x326bB0x12df0
0x3b53B0x13997B0x12df0	0x3b67B0x13997B0x12df0
0x3b67B0x13997B0x12df0	0x3b70B0x13997B0x12df0
0x3b4bB0x13997B0x12df0	0x3b53B0x13997B0x12df0
0x21a2B0x3b70B0x13997B0x12df0	0x21d2B0x3b70B0x13997B0x12df0
0x204fB0x3b89B0x13997B0x12df0	0x2061B0x3b89B0x13997B0x12df0
0x202eB0x3b95B0x13997B0x12df0	0x2041B0x3b95B0x13997B0x12df0
0x2041B0x3b95B0x13997B0x12df0	0x204eB0x3b95B0x13997B0x12df0
0x201cB0x3b95B0x13997B0x12df0	0x202eB0x3b95B0x13997B0x12df0
0x1f42B0x13bbaB0x13997B0x12df0	0x1f610x1f42B0x13bbaB0x13997B0x12df0
0x3469B0x329fB0x12df0	0x3470B0x329fB0x12df0
0x3484B0x329fB0x12df0	0x348fB0x329fB0x12df0
0x345fB0x329fB0x12df0	0x3469B0x329fB0x12df0
0x3479B0x329fB0x12df0	0x3484B0x329fB0x12df0
0x202eB0x3470B0x329fB0x12df0	0x2041B0x3470B0x329fB0x12df0
0x2041B0x3470B0x329fB0x12df0	0x204eB0x3470B0x329fB0x12df0
0x201cB0x3470B0x329fB0x12df0	0x202eB0x3470B0x329fB0x12df0
0x3a3fB0x3456B0x329fB0x12df0	0x3a4cB0x3456B0x329fB0x12df0
0x3a28B0x3456B0x329fB0x12df0	0x3a30B0x3456B0x329fB0x12df0
0x3a39B0x3456B0x329fB0x12df0	0x3a3fB0x3456B0x329fB0x12df0
0x202eB0x3a1eB0x3456B0x329fB0x12df0	0x2041B0x3a1eB0x3456B0x329fB0x12df0
0x2041B0x3a1eB0x3456B0x329fB0x12df0	0x204eB0x3a1eB0x3456B0x329fB0x12df0
0x201cB0x3a1eB0x3456B0x329fB0x12df0	0x202eB0x3a1eB0x3456B0x329fB0x12df0
0x202eB0x3a30B0x3456B0x329fB0x12df0	0x2041B0x3a30B0x3456B0x329fB0x12df0
0x2041B0x3a30B0x3456B0x329fB0x12df0	0x204eB0x3a30B0x3456B0x329fB0x12df0
0x201cB0x3a30B0x3456B0x329fB0x12df0	0x202eB0x3a30B0x3456B0x329fB0x12df0
0x358bB0x3285B0x12df0	0x3592B0x3285B0x12df0
0x35a6B0x3285B0x12df0	0x35cfB0x3285B0x12df0
0x3581B0x3285B0x12df0	0x358bB0x3285B0x12df0
0x359bB0x3285B0x12df0	0x35a6B0x3285B0x12df0
0x35dcB0x3285B0x12df0	0x35e0B0x3285B0x12df0
0x35e0B0x3285B0x12df0	0x361bB0x3285B0x12df0
0x35cfB0x3285B0x12df0	0x35d4B0x3285B0x12df0
0x361bB0x3285B0x12df0	0x3621B0x3285B0x12df0
0x202eB0x3592B0x3285B0x12df0	0x2041B0x3592B0x3285B0x12df0
0x2041B0x3592B0x3285B0x12df0	0x204eB0x3592B0x3285B0x12df0
0x201cB0x3592B0x3285B0x12df0	0x202eB0x3592B0x3285B0x12df0
0x3a3fB0x3578B0x3285B0x12df0	0x3a4cB0x3578B0x3285B0x12df0
0x3a28B0x3578B0x3285B0x12df0	0x3a30B0x3578B0x3285B0x12df0
0x3a39B0x3578B0x3285B0x12df0	0x3a3fB0x3578B0x3285B0x12df0
0x202eB0x3a1eB0x3578B0x3285B0x12df0	0x2041B0x3a1eB0x3578B0x3285B0x12df0
0x2041B0x3a1eB0x3578B0x3285B0x12df0	0x204eB0x3a1eB0x3578B0x3285B0x12df0
0x201cB0x3a1eB0x3578B0x3285B0x12df0	0x202eB0x3a1eB0x3578B0x3285B0x12df0
0x202eB0x3a30B0x3578B0x3285B0x12df0	0x2041B0x3a30B0x3578B0x3285B0x12df0
