sample_id,label,family_id_theta,fold_id_theta,max_sim_to_train
arbitrum:0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,1,F00052,2,0.578125
arbitrum:0xe98ff50b1545465e864e21db780cc3e63ac440bc,1,F00024,2,0.671875
arbitrum:0x1e142b1f5ea1b5b12ddb8db5d96f85aacdafb7cb,1,F00053,1,0.515625
arbitrum:0x58656df2dc165bb366e342964555c23c1d38cc48,1,F00054,1,0.6328125
arbitrum:0xf01b73819eb14ff5394727bcb6ea656bdddbbea6,1,F00035,1,0.8046875
arbitrum:0x6e0abca1f2b71787fcbf9b6e8e26397cd980893e,1,F00027,3,0.8515625
arbitrum:0x3c07384a2887950532a010b14326ee8a0edfcb3b,1,F00035,1,0.796875
arbitrum:0x5b5f9ee26421e88a6509f68d0b50a98e1946d96d,1,F00056,0,0.6171875
arbitrum:0x0e6513a4bd58c073aab8dea150fa09f65592476e,1,F00042,1,0.8203125
arbitrum:0xa8d943374c909ae9353f363c9c000f15e97c8f76,1,F00047,4,0.8984375
arbitrum:0x89046d34e70a65acab2152c26a0c8e493b5ba629,1,F00008,0,0.8046875
arbitrum:0x289c9c58355e1a7d2b0ad4a5e8f2c3c961b48ae9,1,F00008,0,0.8046875
arbitrum:0x163193c89de836e82bb121bd0dbcaba7e8ba67dc,1,F00008,0,0.8046875
arbitrum:0xe93bc144cf11af93c705e28a9602550242edea8f,1,F00057,4,0.65625
arbitrum:0xbbc9e6412d2b48acd4273faca993bd1a3e0d11da,1,F00058,0,0.734375
arbitrum:0xd6464c671084289ed0c3082a9853491b7115a630,1,F00007,3,0.8046875
arbitrum:0x926ee06fc0474b8158c049b8a32aa13a7e9aafad,1,F00036,3,0.53125
arbitrum:0xbd2bef4b50b16276b9765be7c240b006c91ffc85,1,F00047,4,0.8984375
arbitrum:0x8e7d36600b034e6b7e0266419ec899c36499f066,1,F00057,4,0.65625
arbitrum:0x055e040ee80039ce86f65dfe004310fe61f7fe46,1,F00027,3,0.859375
arbitrum:0x000005d2c018e5146489b81e850cf3c31260bd97,1,F00043,0,0.7109375
arbitrum:0xc57a8d27297d19322ff8f3b9991039bed5ec70f1,1,F00059,4,0.6875
arbitrum:0x4b35bd14dbb9a256184e663284c1db5ad04db403,1,F00024,2,0.671875
arbitrum:0xe03a11a639c5a700ebcbaf849878513c62e8d73c,1,F00060,1,0.6640625
arbitrum:0xa95fe02029d9aa507fe44b4a46e7bb613fcf6dbb,1,F00019,1,0.8671875
arbitrum:0x3fbf05c536dfcde58d80febc2028476a32c2f3fd,1,F00045,3,0.7890625
arbitrum:0x9b9d06bba2f40ae51b352ae17381249fdfaac49f,1,F00007,3,0.796875
arbitrum:0x0dd61275ecd8666b3bfe77ff1ce17a98b542caad,1,F00028,1,0.875
arbitrum:0x38c57fd1ad45425a2c89eecb1f2c78ec4290c254,1,F00050,3,0.8828125
arbitrum:0x38f34ffe6266c3f3e6a2c1e2a2ff091884a5482e,1,F00008,0,0.8046875
arbitrum:0xdd461b55a8b14da4c889fd2b5dab1f8768203ac4,1,F00001,1,0.828125
arbitrum:0x93c1bfc95c20d212c85c6bbc74bd339b3c0086da,1,F00061,3,0.8828125
arbitrum:0x8ffee2ba2ee578ba6d2ebdb09e7dc27e8bc2c5d7,1,F00062,2,0.7734375
arbitrum:0xf1d92ee5c530138378069c7aa7796fe643bc1b03,1,F00063,2,0.671875
arbitrum:0x709c95a75c89d57f28b4f4ef8a8617a466ed7988,1,F00024,2,0.6953125
arbitrum:0x76ff9c83c537ec01ff2e4102c1554a314840e765,1,F00064,3,0.8828125
arbitrum:0x39613fef285d9cee7288acfb2e6256e1ccfae8c1,1,F00022,1,0.859375
arbitrum:0x1f18fb6e06c31539304bc700f8f203b43502d0d6,1,F00066,2,0.65625
arbitrum:0x4e5575d4e5b559f32a3fb26711de499280b53bc9,1,F00035,1,0.7890625
arbitrum:0x0061a9da09d7deac392c4b17f3718fecba7c5259,1,F00025,4,0.7109375
arbitrum:0xe9243c7fa354d34b601fd5e5d1c9bff7194be325,1,F00062,2,0.7578125
arbitrum:0x475d10e5b1253e1c03e7ead90266352b98cfd994,1,F00007,3,0.796875
arbitrum:0x43d9fb2969ba6fb94705bcf3e97b9cde1013c7a3,1,F00067,1,0.2890625
arbitrum:0xfe9581540414b2e45b1f2eb6e17a8e2b28b4ba65,1,F00068,4,0.8515625
base:0xebd40467f4ff6e7bc6563890cdb50adebbb1c2b0,1,F00006,4,0.828125
base:0xaa114220c7f4b01ce91c6722da84e6f8021f7358,1,F00069,2,0.75
base:0xd8ee44eb8fa9c5ecc0052fc04ffe5d58904aff78,1,F00070,2,0.765625
base:0xe091aa0fc886e16ada66fa7d1a3c6b3c9d7946b2,1,F00071,2,0.75
base:0x572065f25b2af0081bca42d1b173e507e8005e54,1,F00008,0,0.8046875
base:0xd0120967143b20b1142e9da31d6d2280d883f499,1,F00072,0,0.75
base:0xfde6b0b682d7c99559fd66fbd4ac425301a03ec5,1,F00025,4,0.6796875
base:0xd1d4b213d67bf213563629da22769fe335950da2,1,F00073,4,0.7421875
base:0x709d5b91c2549b23ae535edeca913d39e5e19dd5,1,F00027,3,0.8515625
base:0x8089728a776934de9b108f1c0c60f4c96fd205a7,1,F00045,3,0.8046875
base:0x399e3a4f3251ba247b223cf41079cfe19d40463f,1,F00007,3,0.796875
base:0xe421de693a75ae8a6ef68346fcf4fb59a59667c0,1,F00074,4,0.875
base:0x76dcbb9c9c3aca33bf5de6e4304dd1995a6e6a5b,1,F00045,3,0.8046875
base:0x2f440cefb05b2262d168fb72b77b04d0bd1318dd,1,F00075,4,0.78125
base:0xee4cb9f00505ab2eeddd571b0ad9a0721ecfa241,1,F00076,1,0.8671875
base:0x85a89daa4483e2685cbec4e92b97845ba976e926,1,F00071,2,0.75
base:0xe5cd14c7c65389b68a9668abb0671719a6901f69,1,F00071,2,0.75
base:0x5d64ab153ee5b056335187147c9e54ed545fe249,1,F00001,1,0.7890625
base:0x68d333198c60c8160848437b2870f3a5be693107,1,F00005,0,0.75
base:0x506e1132346397bebb589df00f4b8df1d5087362,1,F00077,2,0.875
base:0x72ec679bc22cc91abcc3bcbbe93b977a6b7b6571,1,F00078,0,0.890625
base:0x7f0fc823ff1089dfb2d0e3923c67daa98c70bcc3,1,F00076,1,0.8671875
base:0xf32f5364158486214c905e65b25119e3ce802047,1,F00079,1,0.4453125
base:0x7c871113df5f3bcf5219eaaa727ec34bc323f2dd,1,F00080,0,0.859375
base:0xfa647369d38bd1eba5b24242f8479fd95c4bc229,1,F00051,4,0.875
base:0xf74896bfeb20c2167d87bf4217172eec23d11a00,1,F00008,0,0.8046875
base:0x6d38ff590e052bcfb9436fa9e369298600c0eb3b,1,F00035,1,0.765625
base:0xd9e18d022a3f891c5effa6a091d77ad7e3f3e3ba,1,F00081,1,0.7421875
base:0x0e6513a4bd58c073aab8dea150fa09f65592476e,1,F00042,1,0.8203125
base:0x68d778f7ba2a4f5191e74efee6ae9c8c2cf6d075,1,F00001,1,0.7890625
base:0xecdc0b363d278f9955d11fef053b52c2f0e8ead6,1,F00082,0,0.7578125
base:0xc245145fbef4dc75b7dbc28a7b57cdf547dd896f,1,F00045,3,0.78125
base:0x734e19c22dd7205500480f5b84a14c326df7d351,1,F00083,0,0.75
base:0xf86ca31096dc981d105b125b537179c66954b55e,1,F00084,0,0.84375
base:0xef8d4573baa3b18c3997564898a00419e29de5c8,1,F00022,1,0.859375
base:0x32a855b5fc39885715bb4ebb1909cac89ba74194,1,F00085,4,0.84375
base:0x9bcfab73a9e0c3786dc0c71090c425a783ef8ae5,1,F00086,3,0.78125
base:0x4b39b261659df3d39a4f95d0a5cec6ee2b394be8,1,F00087,3,0.8828125
base:0x4248c289a3bdc032423ab31902e7b37d42e2d27c,1,F00088,2,0.8828125
base:0xff2318cd698c23f37c2fcf03a57df69e43165b48,1,F00025,4,0.7109375
base:0x5d7b3b77663888c8f5be6ddbb539a16250d9cd96,1,F00045,3,0.7578125
base:0x96f323b4d9bd628022c643e6b409373ba2950c5a,1,F00089,1,0.8359375
base:0x17164ef1732d0f02c440035641fa4460d614fa1a,1,F00016,4,0.6328125
base:0x93c1bfc95c20d212c85c6bbc74bd339b3c0086da,1,F00090,2,0.765625
base:0x5f0393396359b58366049e7b11aa786de4c473fd,1,F00008,0,0.8046875
base:0x589ec783fa13497688ae79eb3e57cc88b4f5f55e,1,F00081,1,0.734375
base:0xd5864ea79230263b7ed860ca358d59402311c0b7,1,F00008,0,0.8046875
base:0xebf985ad307cba2a214dfc5caffa8e41c17c632f,1,F00035,1,0.796875
base:0xed79a74c1d95bbf31a3f39a5f3cf9217735adf52,1,F00083,0,0.75
base:0xe21ed77ad618245abca9e213f5358f50bc63fdbd,1,F00007,3,0.796875
base:0xffd463daad2894ca63829ad969de4dbcf9912a01,1,F00091,3,0.703125
base:0x1ee8e3b6ca95606e21be70cff6a0bd24c134b96f,1,F00025,4,0.6796875
base:0x3d1c420791442c84a24deaf5a5d9c13e3cee27e4,1,F00092,1,0.75
base:0xf7fcc1f7cd3353120519cdc6dfe503e77140371d,1,F00093,1,0.75
base:0xbe4cb4f3b926953dc550614b71909f149799f1f9,1,F00083,0,0.7421875
base:0x62738fee245cb8a22fc3761598f9f1b816e52445,1,F00016,4,0.625
base:0x50af934a3bda8cebfd97e3a031091e80a465bb74,1,F00070,2,0.765625
base:0x6700e6332fcd7be4b1c72c2e77abb62556f6453f,1,F00076,1,0.875
base:0x5900972eb4e639fc2b9aaab2c73479946c3a1d9c,1,F00081,1,0.734375
base:0x28922679e7c2651f27a4781346012d677185e2e0,1,F00094,3,0.75
base:0x52064cea5e296956e3085d45e695888f7f70f5af,1,F00095,4,0.8671875
base:0x3495fed224aa078d7e754e9f626c613a5cb04528,1,F00096,0,0.890625
base:0x00037763c2c4e6efa6bf9a03775f6a0b5112b578,1,F00014,3,0.890625
base:0x531723f8dc24e3da9220ec39769eac12cffb03fa,1,F00093,1,0.75
base:0x214070b6eb44001091e53c22e03fdca43b6524c2,1,F00073,4,0.6953125
base:0x3447d54e4358e306d58e5bbfc3a19d728d53f78e,1,F00017,2,0.1640625
base:0x062aa27842a3bbc6949b5d18e6dd5332a49a4555,1,F00045,3,0.78125
base:0x04d1014a442e4e57195dbe3552211657271181b5,1,F00008,0,0.75
base:0x9679a231fb530a5cd4d6314328e4aadc068f1b34,1,F00080,0,0.859375
base:0x7ad2c685cbc9468576598cb8a3b0956e128c74a8,1,F00097,4,0.8984375
base:0x5340dce24f966ce374b5ab5b66586027fcfc3452,1,F00098,0,0.671875
base:0xcb961ae6333177f5e417d3b5d4b721ec22357395,1,F00099,0,0.859375
base:0x98d90bb858781934b05ec289dd272097366825a0,1,F00100,4,0.5078125
base:0xd34426bef7e56fef2a617ea70fff427d658b740b,1,F00045,3,0.765625
base:0x000005d2c018e5146489b81e850cf3c31260bd97,1,F00043,0,0.7109375
base:0xb845ce81270c9c4ac2ace3fbc479724480a74ecf,1,F00071,2,0.75
base:0xa7cf1af2a74885b28d8f82d1838a000c3e0998b0,1,F00060,1,0.6640625
base:0xd19128c8c3d9b6a937ef4d3bc0b24db02ee87e3d,1,F00069,2,0.75
base:0x153fdf0e669fd84c75e603bc4eee1641194655f0,1,F00035,1,0.8046875
base:0x1fbb9d39e147908257dbc08cfea288eb860de43c,1,F00091,3,0.7109375
base:0x6e12b2430eb146aba9ce42371d6570fbecf25488,1,F00101,3,0.8984375
base:0x397dbb9073025a3d87104aadbd6443b72bfc15b6,1,F00102,3,0.8125
base:0x09551d2ab499d73affed001b54d483942e11e0ff,1,F00103,4,0.78125
base:0x05099f3d8b4078c2c91425163762c7c6d4164f11,1,F00104,2,0.8984375
base:0xa28023c54e45e9ef833bc60985cabcbb28dff858,1,F00105,1,0.7109375
base:0x71f968f9f220b9cb53f58af1621cad1522d3f178,1,F00001,1,0.78125
base:0xa6824fe8fb56ba33c5e38d471740144af99a541d,1,F00106,0,0.8359375
base:0x9dedce2f26f0276a4ee7d650a76c390d6274b2a5,1,F00034,1,0.7265625
base:0x49c1d860360068ffa6ed19ed6a2d2a768347df2d,1,F00107,3,0.8828125
base:0xaa1d67342d4233bd1b600cdd865827265333e4b4,1,F00030,4,0.1640625
base:0x8f919e1a4a4d376183cd179d55d17e592ad4dada,1,F00108,4,0.6171875
base:0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,1,F00109,4,0.5703125
base:0x60ed47856445f6f9033c3190bfd4f3abb546353f,1,F00110,3,0.6640625
base:0x05e920e04d1ce943a82712737974dc7d114e6275,1,F00007,3,0.8046875
base:0x0b84d348c702c991bc60279d56392565dee15cf2,1,F00108,4,0.609375
base:0x553a24c348c88327b39366a6d808c4f30f891744,1,F00111,1,0.7265625
base:0xd2a4da69c5e4be9a540092bd27e0d2b3fe7d77a0,1,F00111,1,0.734375
base:0x1d383d085d87aa0105930bf141605d8e6983d299,1,F00113,2,0.859375
base:0x89046d34e70a65acab2152c26a0c8e493b5ba629,1,F00008,0,0.84375
base:0xaf08c8f3523b1eb6aa49010820b267facf70998c,1,F00114,0,0.46875
base:0x9864340f16fabb27612cef471312e6271628c726,1,F00115,0,0.8515625
base:0x1511cfd463da477220a34ee95561a5253ba036c0,1,F00093,1,0.734375
base:0x36a460f808a9ea001ef1322d02c5fba87b20cec0,1,F00088,2,0.8828125
base:0x5da91aa91d35c38e0455546e072f3d0e860735cf,1,F00027,3,0.8046875
base:0x5fe78697ca70156a458ec9e9cd561aa136fad4c8,1,F00008,0,0.7578125
base:0x3d9b5453f365fbea1020c847268ccae78547b6cf,1,F00116,2,0.7890625
base:0x0dd61275ecd8666b3bfe77ff1ce17a98b542caad,1,F00028,1,0.875
base:0xa3dcc8e16ec4b33ecd6e6f4e8789d34c7e74c145,1,F00117,1,0.8984375
base:0x000054507a812fd32582e7a997c83e6d446fd60e,1,F00014,3,0.8828125
base:0x325b2bdddd7ea1335acee94bfdb1ea3130d08e07,1,F00025,4,0.6796875
base:0x3c37ed637a5bd169eb0f543fdb449d48c1012dd2,1,F00006,4,0.828125
base:0x16606ad9fdaa679aa119e93e44ab461f039a797a,1,F00118,1,0.703125
base:0x6ccf6fc8bd7eb3bee762887196a2f0d8c52ef3c1,1,F00036,3,0.53125
base:0x5197837eac237092876f1bcaf5943d9ad4b70d41,1,F00083,0,0.734375
base:0x4a5706a54fe453177221f50c036fd09a2894a891,1,F00025,4,0.671875
base:0x84340f560c20b1076f1a6ea97207a55d145d4447,1,F00089,1,0.796875
base:0x8ee33a48e87e164725c3bbd4d186700ee7b74160,1,F00012,4,0.6953125
base:0x7ebce79a41445dffd9b9e6dcee01c205cc020db0,1,F00045,3,0.8046875
base:0xb0e649954978aad7700e21fee7254b7db6a99360,1,F00119,2,0.640625
base:0x5f3075823d0b02d4248d9feb797f592da3d27bc5,1,F00120,4,0.828125
base:0x13fc58118fd8d4ae99f6cd4383ccc3d42b41104d,1,F00041,0,0.6015625
base:0x5d0b3af0d47cab82130f371bb16cf82aab832f95,1,F00094,3,0.75
base:0xbb1ceb4440c69c9cc01054e2f26c15bb7367b370,1,F00006,4,0.828125
base:0xf7fa257f4942416b90984709386df0f3233d0c87,1,F00029,3,0.609375
base:0xfe15e9caf24d0452981436383651d0cd7101b924,1,F00071,2,0.75
base:0x768db2a29a1f4cf2fe2f42a01ce6cb2bbf8cd341,1,F00080,0,0.859375
base:0x628ff693426583d9a7fb391e54366292f509d457,1,F00121,3,0.3359375
base:0x4d04ef238941e8b2f0939b2de934b2e037d068fc,1,F00071,2,0.75
base:0xae9d88d94695a3b8a63eac5301722e592fd6bdc5,1,F00095,4,0.8828125
base:0x0000013e81b16d6f369a3376cb38381c06606ed8,1,F00040,2,0.890625
base:0x7efcee8c6fe935b1551e1c133185e84a3d7742e9,1,F00081,1,0.703125
base:0xfc4a4381774e5411b84bff224f8dd9c0d7db52dc,1,F00082,0,0.765625
base:0xfc1e017812a16fb3650d6110765d2622fd23c1e4,1,F00095,4,0.890625
base:0x7aef1df01285823845ee9b905f5bd20471c27e6c,1,F00037,2,0.75
base:0x760daf78fba61e440816243de08e89486375e2a8,1,F00008,0,0.8046875
base:0x0000ee48d8540fe16c7e421fd6e61bdecb2748d7,1,F00014,3,0.890625
base:0xac8bd2651a6a366eb036aff84d984586f800cee1,1,F00008,0,0.78125
base:0x0000ce484ce6afbf650eb6b009dae2655aa39fc4,1,F00014,3,0.875
base:0xa455a417f9aebe8b99bd88d48be0c8ec7d2fb3af,1,F00076,1,0.8984375
base:0x24198745861cdd3d6bdb78e8d7fa55a87cad0122,1,F00024,2,0.6796875
